babies born this year will 59
babies born with low birth 141
babies less than one month 51
babies less than two years 43
babies once they are born 74
babies when they are born 195
backed away and sat down 647
backup copy with each save 209
backup file that you want 60
bairns when you are over 88
banana dock and sat down 55
banish adam and eve from 45
banish from his own mind 47
banned along with all other 113
banner over her was love 44
banner over them was love 56
barbed wire had not been 71
barbed wire that had been 232
barbed wire that has been 40
barbed wire that ran along 99
barely held its own during 47
barely held its own from 53
barely lift her head from 60
barely make out each other 55
barely make out her face 366
barely make out her form 73
barely make out his eyes 73
barely make out his face 338
barely make out his form 124
barely more than one half 120
barely more than one third 109
barely more than ten years 86
barely more than two years 147
barely room for two cars 67
barely sign his own name 118
barley bread and two fish 69
basins have not yet been 46
basins were cut off from 40
batted ball that goes high 116
batter into pan and bake 333
battle four men ran away 46
battle more than any other 43
became angry with each other 207
became angry with his wife 170
became clear one day when 56
became clear that all these 182
became clear that all three 98
became clear that any such 41
became clear that both were 61
became clear that far from 131
became clear that far more 58
became clear that for many 164
became clear that for most 176
became clear that for some 124
became clear that his days 49
became clear that his health 66
became clear that his life 75
became clear that his main 59
became clear that his mind 93
became clear that his wife 89
became clear that his work 47
became clear that new york 67
became clear that not even 271
became clear that not only 2238
became clear that one must 44
became clear that she felt 137
became clear that she knew 58
became clear that she must 82
became clear that they also 73
became clear that they felt 47
became clear that they have 58
became clear that they knew 64
became clear that they meant 57
became clear that they must 121
became clear that they were 5509
became clear that things were 331
became clear that this form 45
became clear that this goal 41
became clear that this kind 87
became clear that this last 41
became clear that this plan 67
became clear that this time 243
became clear that this type 98
became clear that this view 100
became clear that this work 42
became clear that this young 45
became clear that too many 61
became clear that too much 54
became clear that you were 99
became clear they had been 44
became clear was that many 42
became clear was that there 85
became from that day forth 129
became from that day more 142
became half mad with rage 43
became like one not having 369
became more and not less 298
became more real and more 233
became more real than ever 63
became more set than ever 68
