dalliance hours 64 dangerous people 45
darkness known 87 darkness morning 53
darkness night 46 darkness night 44
darkness night 69 daughter about 47
daughter teens 59 daughter teens 94
daughter uncle 71 daughter royal 138
daughter dwelt 55 daughter byron 98
daughter baker 99 daughter blunt 64
daughter byron 117 daughter drake 140
daughter pratt 55 daughter scott 97
daughter woman 75 daughter uncle 47
decedent known 247 deceived thinking 70
deception would 44 decisions older 54
decisions easily 52 decisions binding 40
decisions place 92 decisions agree 88
decisions about 65 decisions cases 73
decisions cases 78 decisions state 59
decisions times 54 decisions court 130
decisions reason 63 decisions could 40
decisions under 165 decisions which 41
decisions money 128 decisions lives 45
declared nation 63 declared sorry 69
declared sorry 77 declared court 113
declared first 87 declared evening 47
declared times 724 declared world 164
declarer owned 40 declares cured 55
declined would 47 declines older 164
decreased older 50 decreased since 49
decreases older 118 decreases older 269
dedicate tales 65 deepened older 85
defended armed 45 defended acute 43
defended blood 69 defended lives 116
defended sides 114 dejection again 65
delicacy would 63 delicacy either 40
delicacy which 104 delicacy feeling 41
delicacy which 63 delicacy could 111
delicate crude 197 delighting after 65
delights dirty 46 delights loves 64
delights until 45 delirium hours 52
delivery within 45 delivery until 40
delivery within 101 delivery within 48
delivery goods 54 delivery money 103
delivery cells 57 delivery child 162
delivery child 182 delivery action 414
demanded times 77 demanded leader 43
demanded which 64 demanded thereof 147
demerits would 72 demurrer taken 48
depended light 48 depended sense 65
depended alone 59 depended people 168
depended times 51 depended money 308
depended engine 40 depicted study 42
depicted faces 44 depicted faces 52
depicted panel 64 deported after 42
deported wales 63 deposits banks 91
deposits wales 305 deposits banks 285
deposits state 107 deposits wales 279
deposits banks 110 deposits state 91
deposits found 45 deposits found 43
deposits occur 66 deposits occur 216
deposits found 42 deposits thereof 93
depressing nearer 53 deprived swoop 117
deprived power 66 deprived civil 199
deprived goods 121 deprived lands 105
deprived money 55 deprived posts 49
deprived power 149 deprived gains 75
deprived share 48 deprived child 60
deprived share 109 deprived under 68
deprived share 171 deprived share 82
deprived share 53 deprived vital 76
deprived which 45 descending shall 43
descending above 111 descending heaven 56
descending boots 60 describe terms 73
describe words 46 describe which 84
describe which 52 describe types 144
describe people 49 describing beneath 49
designed noble 104 designed could 44
designed would 147 designed state 228
designed people 46 designed focus 362
designed sharp 45 designed order 149
designed people 48 designed until 59
designed while 44 designed needs 147
designed needs 356 designed egypt 48
designed people 74 designed money 53
designed water 45 designer plate 42
desirous alone 77 desirous equal 42
desirous fully 42 desirous token 50
desirous rather 48 desirous could 48
desirous grace 50 despised taken 98
destined fruit 61 destined fruit 155
destined fruit 102 destined fruit 82
destined after 43 destined lives 71
detached which 45 detained wales 74
detained hours 43 detected after 49
detected point 47 detected stage 121
detected method 123 detected lines 56
detected organ 120 detected voice 67
detected stage 111 detected steady 53
detection noble 54 detention after 43
detention cause 277 detested world 40
developing since 43 develops fully 44
deviations lines 68 deviations point 125
deviations lanes 57 devolved moore 70
diagnosed stage 79 diagnosed stage 51
diagnosis stage 64 diagnosis cases 90
diagnosis would 126 diagnosis after 45
diagnosis until 1400 dictated above 42
dictates would 64 dictates rather 49
dictates sense 42 dictates rather 66
dictation state 58 diffused words 47
diffusion about 58 diminish older 92
diminish older 89 diminish which 55
directed baker 250 directed alone 83
directed state 77 directed tends 46
directed which 62 directed known 68
