race placed 59 race called 65
raft waters 85 rage result 59
rail public 395 rain clouds 139
rain waters 41 rain clouds 55
rain frozen 96 rain stored 45
rain through 88 range thermal 278
range attack 92 range future 562
rank common 105 rank harbor 87
rare record 83 rare engines 68
rate borrow 48 rate changed 55
rate higher 42 rate raised 68
rate market 585 rate normal 162
rate exceed 42 rate actual 149
rate amount 40 rate higher 146
rate number 53 rate higher 205
rate levied 95 rate viewed 46
rate whites 130 rate levied 46
rate varied 72 rate levied 191
rate varied 54 rate effect 71
rate changed 53 rate raised 43
rating station 84 rating visual 136
ratio speech 50 ratio actual 46
ratio called 69 rays radium 222
rays various 46 rays radium 87
reach gospel 143 reach gospel 563
reach remote 116 reading school 51
reading latest 65 reading public 43
reading second 136 reading target 152
reading become 56 reading spleen 54
ready battle 40 ready scarce 51
realm called 63 reed broken 46
rent raised 146 rent lowest 40
rent deemed 66 rest troops 45
rest annual 60 rest expect 55
rice staple 49 rich silver 62
rich seemed 87 rich orient 135
rich indians 74 ride earnest 58
riding little 52 riding master 52
ringed glossy 49 rioting august 48
rioting harlem 123 rioting london 57
rioting various 46 riots august 49
riots berlin 79 riots bombay 205
riots boston 107 riots cities 146
riots harlem 267 riots havana 99
riots lahore 44 riots london 332
riots madrid 61 riots moscow 45
riots poznan 53 riots quebec 45
riots various 324 riots vienna 45
rise beyond 61 rise advent 41
rise lonely 72 risk chance 161
risk number 45 road opened 64
road english 119 road london 44
road pretty 51 road through 50
road become 91 road opened 103
rock little 158 rock troops 57
rock traced 50 rock called 47
rock traced 60 rode london 99
role played 55 role younger 42
role client 184 role entire 113
role family 112 role female 42
role future 274 role modern 86
role younger 395 role active 63
role person 61 role played 475
role played 207 role become 87
roof rugged 44 room twelve 76
room redden 76 room states 51
room turned 45 room turned 50
room window 467 room palace 52
room pantry 167 room window 197
room lights 54 room guests 93
room doctor 94 room chairs 42
room family 143 room guests 105
room locked 73 room rented 69
room window 232 room window 40
room called 41 room become 116
room dressing 59 room sleeping 49
root filled 77 root traced 153
root spinal 161 root system 643
root origin 51 rope school 40
rose twelve 61 rose tumult 48
rose become 53 rose oranges 42
rose plague 52 rosy future 136
rosy future 83 rude seemed 112
ruin safety 63 rule broken 59
rule changed 64 rule deemed 314
rule safely 89 rule stated 158
rule effect 207 rule agreed 92
rule stated 125 rule become 62
rule govern 50 rule served 101
rule police 47 ruling church 88
ruling common 416 ruling latter 50
ruling masses 592 ruling middle 113
ruling native 115 ruling peasant 48
ruling assist 57 ruling common 50
ruling masses 503 ruling office 89
