sacred me 107 sacred the 47
safety the 118 safety the 43
sailed the 58 sailed the 43
sample the 63 scanty the 41
scanty the 40 school the 128
school to 50 school the 203
school be 309 school be 105
school be 102 school the 174
scored the 95 second the 55
second the 47 second the 43
second the 45 second the 48
second be 108 second the 51
second the 62 second the 44
second the 54 second be 41
second the 110 secret the 72
secret the 58 secret the 74
sector the 46 sector be 47
secure do 53 secure the 143
seemed the 111 seemed the 116
seemed the 43 seldom the 57
serious the 44 serious to 43
serious the 92 serious the 43
serious be 42 serious the 169
serious the 173 serious the 97
serious the 46 serious the 41
served is 50 server the 94
severe is 169 severe the 59
severe the 43 severe be 53
severe the 41 severe be 203
sexual be 43 sexual the 119
sexual the 100 sexual be 59
sexual the 44 sexual be 45
sexual be 79 shaped the 82
should the 55 should the 138
should the 100 should the 159
should in 88 should the 55
should to 71 should be 385
should the 40 should the 42
should to 94 should the 83
should the 61 should the 100
should at 45 should be 75
should the 41 should the 44
should the 169 should the 47
should be 461 showed the 45
showed the 78 showed the 54
showed the 89 silver the 133
simple the 119 simple the 40
simple the 741 simple the 58
simple the 219 simple of 47
simple the 61 simple to 59
simple the 72 simple the 48
simple be 140 simple to 60
simple the 136 simple the 40
simple the 60 simple on 56
simple the 43 simple the 95
simple the 43 simple the 93
simple the 67 skirting the 62
skirts the 52 slight the 55
slight be 60 slight the 54
slowly sea 48 solemn the 113
solemn the 57 someone the 56
something the 121 something an 108
something the 78 something the 91
something the 47 something the 45
something me 88 something the 41
sounds the 91 sounds the 42
special be 70 special to 57
special the 113 special the 60
special he 146 special the 768
special the 51 special the 799
special be 195 special the 45
special the 59 special be 42
special the 47 special the 114
special be 42 special is 146
special the 66 special the 83
special the 53 special an 44
special the 140 special the 59
special the 56 special the 41
special the 112 special the 47
special the 50 special the 69
special the 270 special the 40
special the 89 special it 43
special the 155 special the 66
special the 49 speech the 49
speech the 44 spinal the 74
stable the 57 standing the 78
standing the 43 standing the 113
standing the 53 standing the 48
stands the 48 stands the 195
stated the 87 status be 87
stayed the 102 stealthy the 61
stirring is 356 strange the 63
strange the 56 strict the 82
strict the 42 strict the 40
strict the 196 strike at 232
strike the 84 striking be 51
stringed the 147 subtle to 45
sudden the 49 sudden the 89
supply the 458 supply the 676
supply the 155 supply the 263
survey the 56 system be 49
system the 55 system the 45
