wade snow 72 wading snow 65
wage male 178 wait days 153
wait years 120 wait find 44
wait tell 62 wait pour 57
walk lord 235 walk lawn 51
walk open 44 walk road 47
walk room 587 walk yard 113
walk room 651 walk door 293
walk lord 72 wall keep 95
wall least 58 wand half 46
waning keep 56 warm have 58
warm more 225 warm fire 58
wave wave 80 wave lord 1505
waving foam 43 waving pine 94
ways road 401 weary moor 68
weed void 116 week least 60
week having 49 week least 44
week suet 56 well dose 100
well know 47 well were 57
well have 350 well learn 42
well such 89 well their 52
well help 47 well help 69
well their 41 well sixth 42
well make 55 well other 44
well next 153 well reach 135
well root 50 well have 44
went land 46 went town 61
went desk 176 went post 49
went great 43 went tree 44
went mind 53 went wind 71
went lawn 86 went fort 41
went room 54 went lawn 87
went room 160 went room 117
went door 194 went fire 146
went room 80 went yard 62
went room 69 went from 66
went many 41 went same 104
went died 47 went boom 55
went great 86 went wind 69
went snow 96 went room 45
went slow 79 were their 82
were turn 44 were those 78
were look 122 were move 41
were speak 198 were stir 90
were least 41 were odds 51
were debt 102 were pawn 81
were high 41 were wood 95
were best 99 were most 227
were ones 86 were only 52
were same 699 were work 55
were their 47 were pale 40
were range 58 were reach 158
were their 55 were some 123
were snow 40 were those 191
were size 58 were make 268
were turn 42 were their 61
were leave 45 were take 50
were their 40 were their 68
were their 198 were their 42
were move 49 were among 40
were their 51 were their 57
were their 57 were their 85
were work 71 were army 50
were mouth 46 were their 68
were their 183 were their 68
were gate 47 were camp 104
were reach 226 were their 93
were work 159 were their 41
were gate 52 were hill 47
were days 46 were debt 103
were love 66 were making 81
were other 64 were some 116
were such 265 were their 177
were these 40 were work 104
were make 64 were city 59
were town 51 were work 43
were their 52 were debt 141
were city 71 were shed 43
were their 47 were have 56
were some 51 were take 62
were their 88 were next 76
were leave 70 were make 61
were move 55 were take 96
were their 49 were line 117
were their 50 were break 41
were come 130 were fade 54
were fall 64 were feel 70
were fill 58 were form 72
were grow 51 were leave 65
were look 71 were make 63
were move 119 were show 97
were take 108 were talk 54
were think 50 were turn 108
were door 60 were south 40
were their 85 were losing 73
were what 71 were most 61
were dine 72 were find 43
were give 57 were have 214
were help 46 were keep 65
were know 69 were learn 61
were make 95 were meet 40
were show 53 were take 71
were help 56 were eyes 65
were eyes 54 were their 56
were their 135 were their 263
were some 59 were into 60
were know 66 were some 196
were dint 44 were their 56
were their 214 were have 83
were great 62 were their 62
were boys 52 were find 40
were have 196 were meet 82
were good 77 were other 169
were these 60 were those 79
were young 110 were great 47
were their 54 were take 45
were have 103 were their 63
were debt 57 were their 140
were fish 80 were data 43
were food 45 were wealth 49
were have 50 were more 42
were soon 72 were keep 48
were know 132 were make 46
were take 92 were move 61
were feed 78 were keep 367
were live 100 were make 71
were meet 95 were door 135
were door 43 were their 88
were their 55 were their 43
were find 263 were your 50
were pull 58 were their 42
were their 52 were what 167
were those 48 were make 67
were take 102 were live 46
were have 66 were having 46
were their 95 were life 45
were other 48 were some 50
were such 64 were their 368
