daemonic element which 51
dairies producing grade 43
damaged alveolar walls 103
damaged arterial walls 162
damaged british ships 356
damaged british trade 111
damaged buildings after 44
damaged buildings which 103
damaged florida woman 129
damaged frontal lobes 955
damaged hepatic cells 263
damaged material which 48
damaged national pride 132
damaged national unity 102
damaged nucleic acids 185
damaged railway lines 244
damaged sensory cells 64
damaged several enemy 43
damaged several homes 42
damaged several others 994
damaged several ships 322
damaged several times 950
damaged shortly after 198
damaged surface layer 998
damaged surface region 56
damaged tissues which 230
damaged tubular cells 342
damaged urinary tract 51
damaged vessels would 44
damages against either 550
damages against ernst 117
damages against every 65
damages against exxon 75
damages against james 58
damages against local 142
damages against state 934
damages against trade 47
damages against unions 154
damages against which 86
damages allowed shall 438
damages allowed under 2571
damages arterial walls 51
damages awarded after 127
damages awarded could 144
damages awarded might 60
damages awarded shall 450
damages awarded under 3111
damages awarded where 220
damages awarded which 47
damages awarded would 408
damages between joint 41
damages brought about 1294
damages brought under 241
damages claimed could 89
damages claimed shall 105
damages claimed under 103
damages claimed would 51
damages covered under 73
damages imposed under 161
damages nucleic acids 56
damages occurring after 576
damages occurring within 71
damages payable under 481
damages problem would 47
damages require proof 49
damages several times 91
dampens liberal ardor 49
dancers circled about 51
dancers circled round 46
dancers crowded about 85
dancers crowded round 43
dancers gathered round 51
dancers perform while 40
dancers stopped dancing 147
dancers whirled about 257
dancers whirled round 129
dandies cantering after 41
dappled shadows beneath 52
dappled shadows under 62
darkening circles under 91
darkening european scene 72
darkening incense freed 42
darkening towards black 106
darkest caverns known 382
darkest corners where 44
darkest moments after 42
darkest objects appear 241
darkest thoughts about 85
datable material found 40
datable objects found 80
datable shortly after 62
daybreak thursday morning 43
daycare centers offer 44
daycare centers where 150
daycare centers which 57
daycare centers while 41
daycare centers would 60
daytime arterial blood 408
daytime aversion would 57
deadline against which 73
deadline several times 80
deadlock between china 50
deadlock between house 45
deadlock between israel 77
deadlock between japan 81
deadlock between lords 79
deadlock brought about 307
deafness following mumps 41
deafness occurring after 96
deathless warlock found 48
deathlike silence broke 143
deathlike silence which 263
deathlike valleys below 111
debacle against china 51
debacle brought about 90
debased coinage which 256
debased popular taste 160
debased remarks about 45
debated briefly about 100
debated heatedly about 48
debated national issue 96
debated question about 578
debated question which 505
debated question within 50
debated richard nixon 41
debated several hours 59
debated several times 984
debates between black 41
debates between george 127
debates between henry 57
debates between jesus 216
debates between jimmy 59
debates between lenin 77
debates between local 68
debates between luther 47
debates between major 137
debates between nixon 174
debates between party 216
debates between people 134
debates between power 57
debates between reagan 67
debates between right 53
debates between rival 293
debates between social 121
debates between state 41
debates between thomas 68
debates between women 86
debates brought about 148
debates emerged about 43
debates occurring within 112
debates persist about 51
debates regarding social 78
debates regarding which 44
debates regarding women 144
debates usually ended 47
debates usually focus 49
debugging process easier 95
decades beginning about 106
decades between about 101
decades between world 628
decades brought about 468
decades elapsed after 92
decades elapsed since 65
decades following brown 82
decades following freud 50
decades following jesus 73
decades following world 24267
decades preceding world 1740
decades several major 42
decanting several times 233
decayed borough towns 87
decayed cabbage leaves 131
decayed country towns 66
decayed gardens where 59
decayed hemlock leaves 113
decayed kinsman bowed 44
decayed material which 41
decayed rapidly after 203
deceased adopted child 86
deceased covered under 44
deceased emperor which 83
deceased friends would 49
deceased himself could 142
deceased himself might 69
deceased himself would 150
deceased husband after 88
deceased husband could 120
deceased husband leaves 44
deceased husband might 77
deceased husband shall 111
deceased husband takes 53
deceased husband under 178
deceased husband until 114
deceased husband where 44
deceased husband which 155
deceased husband within 43
deceased husband would 434
deceased married woman 233
deceased married women 55
deceased marshal shall 43
deceased members shall 79
deceased members thereof 57
deceased members where 223
deceased members whose 179
deceased members would 56
deceased natural child 115
deceased natural father 72
deceased officer leaves 235
deceased parents share 124
deceased parents would 228
deceased partner could 214
deceased partner liable 447
deceased partner might 66
deceased partner owned 52
deceased partner shall 1957
deceased partner takes 56
deceased partner under 208
deceased partner until 71
deceased partner which 87
deceased partner within 67
deceased partner would 311
deceased persons after 78
deceased persons appear 42
deceased persons could 97
deceased persons known 158
deceased persons might 70
deceased persons named 44
deceased persons shall 670
deceased persons under 154
deceased persons until 42
deceased persons where 84
deceased persons which 264
deceased persons whose 404
deceased persons within 118
deceased persons would 148
deceased several times 79
deceased shortly after 124
deceased supreme court 76
deceased witness given 61
deceased workman shall 72
deceive anybody about 58
deceive congress about 50
deceive herself about 515
deceive himself about 2446
deceive himself again 41
deceive himself ought 47
deceive himself rather 43
deceive mankind under 174
deceive oneself about 681
deceiving herself about 265
deceiving himself about 876
deceiving oneself about 137
decency towards others 41
decibel voltage gains 107
decided advance since 82
decided advance which 45
decided against action 101
decided against anything 111
decided against arguing 102
decided against arius 116
decided against armed 74
decided against backing 40
decided against breaking 227
decided against burning 48
decided against calling 1052
decided against changing 228
decided against closing 144
decided against creating 160
decided against cutting 86
decided against drawing 60
decided against driving 112
decided against either 385
decided against engaging 72
decided against entry 45
decided against falling 56
decided against filling 41
decided against forcing 75
decided against forming 133
decided against funding 114
decided against georgia 40
decided against getting 347
decided against helping 107
decided against henry 44
decided against holding 370
decided against issuing 238
decided against jesus 47
decided against joining 1103
decided against keeping 156
decided against killing 148
decided against labor 49
decided against landing 244
decided against large 56
decided against legal 44
decided against letting 274
decided against listing 59
decided against looking 142
decided against louis 49
decided against luther 84
decided against meeting 242
decided against opening 573
decided against passing 72
decided against phoning 63
decided against picking 62
decided against placing 165
decided against playing 204
decided against pulling 63
decided against pushing 142
decided against putting 658
decided against raising 174
decided against renting 81
decided against risking 270
decided against running 840
decided against sailing 48
decided against scott 255
decided against seeking 589
decided against selling 673
decided against sending 1584
decided against serving 54
decided against setting 229
decided against sharing 168
decided against shaving 56
decided against showing 186
decided against signing 320
decided against sitting 97
decided against speaking 119
decided against staging 45
decided against staying 285
decided against talking 122
decided against teaching 216
decided against telling 1224
decided against testing 130
decided against throwing 81
decided against treating 47
decided against turning 234
decided against voicing 72
decided against waiting 245
decided against walking 123
