mace three drams 48
made ache again 50
made acid again 125
made acting chief 625
made adam first 239
made adam laugh 44
made alex laugh 97
made alex smile 166
made along about 41
made along class 51
made along either 294
made along ethnic 66
made along every 86
made along lines 1635
made along party 101
made along racial 89
made along roads 61
made along shore 73
made along which 57
made also about 647
made also after 84
made also apply 136
made also every 67
made also large 49
made also under 169
made also where 42
made also within 82
made alva appear 45
made among banks 41
made among black 58
made among firms 78
made among forms 44
made among girls 44
made among green 42
made among group 48
made among human 176
made among indian 45
made among kinds 56
made among large 67
made among local 89
made among major 55
made among nearly 122
made among others 1375
made among people 533
made among small 79
made among social 80
made among types 327
made among units 51
made among upper 62
made among urban 45
made among which 82
made among white 96
made among women 202
made anew after 179
made anew every 279
made angel quite 72
made angry faces 94
made angry threats 50
made anna laugh 238
made anna smile 190
made anne frank 66
made anne laugh 137
made anne smile 96
made arch jokes 205
made arms sales 69
made army chief 483
made atom bombs 112
made audio tapes 213
made aunt march 65
made auto parts 712
made away after 59
made away again 59
made baby foods 114
made back again 117
made ball bearings 310
made bank loans 291
made bank notes 666
made bark canoes 382
made bathing suits 64
made beer which 47
made best sense 126
made best speed 273
made bets about 549
made bill gates 173
made bill haley 90
made bill laugh 42
made bird boxes 40
made blue glass 91
made blue serge 214
made boat trips 102
made body armor 42
made body parts 71
made bold moves 197
made bold plans 184
made bold raids 52
made bold steps 62
made bold threats 52
made bomb proof 161
made bomb threats 91
made bone china 52
made bone tools 260
made book which 43
made booth renew 46
made bows since 78
made boys hardy 45
made boys kneel 65
made bread baked 45
made bread dough 131
made bread every 150
made bread pills 192
made bread pudding 696
made bread today 90
made bread which 372
made bread would 42
made bret harte 90
made bulb growing 110
made bush appear 41
made buying trips 118
made call after 308
made came about 106
made came after 43
made came later 43
made came under 108
made camp about 1137
made camp above 135
made camp after 520
made camp again 507
made camp below 82
made camp beneath 327
made camp close 426
made camp fires 92
made camp hours 66
made camp nearby 247
made camp right 814
made camp under 1338
made camp until 70
made camp where 653
made camp while 313
made camp within 357
made canoe trips 74
made cape henry 54
made cape mount 46
made cape verde 45
made cars could 47
made cars safer 41
made cars which 46
made cary grant 43
made case study 93
made cash gifts 456
made cash loans 193
made cash sales 191
made cast after 59
made cast steel 615
made cell phone 164
made cheap books 45
made cheap clothing 49
made cheap goods 220
made cheap labor 107
made cheap linen 153
made cheap steel 72
made city people 43
made city walls 89
made clay birds 54
made clay dolls 90
made clay pipes 313
made clay tiles 270
made clean after 62
made clean again 1517
made clean linen 57
made clean sweep 45
made clean water 43
made clean within 51
made clear about 905
made clear above 3496
made clear after 850
made clear again 938
made clear below 4176
made clear board 48
made clear china 58
made clear either 2396
made clear every 115
made clear first 703
made clear gains 140
made clear japan 51
made clear later 8489
made clear links 81
made clear often 47
made clear quite 132
made clear rather 49
made clear right 1135
made clear sense 429
made clear since 388
made clear thinking 219
made clear though 241
made clear today 108
made clear under 408
made clear until 1308
made clear where 1553
made clear which 2272
made clear while 275
made clear whose 166
made clear within 567
made clear would 223
made cloth could 155
made cloth dolls 48
made cloth which 330
made cold calls 527
made cold water 124
made come alive 107
made copy after 56
made corn cakes 151
made corn growing 40
made cost savings 51
made crab cakes 93
made cream puffs 314
made damn fools 80
made daring raids 230
made dark brown 230
made dark green 142
made dark hints 87
made dark lines 70
made dark spots 397
made dark threats 49
made data entry 127
made days after 85
made deep bends 84
made deep dents 102
made deep holes 441
made deep lines 233
made deep marks 128
made deep scars 42
made deep sense 45
made deep study 155
made deep water 270
made deep within 210
made deer hunting 42
made diana drunk 69
made diary notes 101
made dick laugh 114
made dining table 47
made dire threats 744
made dirt roads 135
made dive after 56
made down again 50
made down below 123
made down river 63
made down stream 115
made drug abuse 332
made duly aware 62
made dumb signs 78
made during about 60
made during acute 116
made during april 571
made during banking 771
made during breathing 55
made during brief 122
made during class 613
made during closing 228
made during cooling 54
made during court 222
made during cross 371
made during daily 141
made during editing 291
made during eight 372
made during either 375
made during entry 62
made during evening 71
made during every 387
made during fasting 46
made during feeding 184
made during fetal 59
made during field 899
made during fifty 179
made during filming 182
made during final 108
made during first 209
made during floor 238
made during forty 139
made during group 218
made during growth 149
made during hearings 102
made during henry 144
made during hours 164
made during human 42
made during input 42
made during james 46
made during joint 48
made during labor 265
made during large 42
made during later 623
made during learning 573
made during legal 68
made during light 122
made during loading 56
made during local 54
made during lucid 77
made during lunch 115
made during major 53
made during march 608
made during meeting 54
made during model 99
made during months 55
made during morning 109
made during nearly 159
made during night 212
made during opening 472
made during period 721
made during phase 578
made during press 56
made during queen 54
made during quiet 147
made during rainy 46
made during rapid 60
made during roman 57
made during search 69
made during setup 52
made during seven 419
made during short 210
made during slack 51
made during sleep 600
made during social 99
made during solar 256
made during stage 209
made during start 42
made during steady 101
made during study 106
made during talks 73
made during teaching 60
made during testing 814
made during tests 122
made during thirty 188
made during times 602
made during total 183
made during trading 86
made during trials 75
made during trips 127
made during voiding 44
made during walks 53
made during which 523
made during working 1069
made during world 9148
made during writing 96
made dust proof 67
made dust tight 120
made eager signs 97
made eagle scout 373
made early about 49
made early action 48
made early after 245
made early every 48
made early gains 98
made early morning 215
made early moves 57
made early plans 69
made edge tools 90
made edna laugh 164
made else where 50
made envy still 60
made even about 209
made even after 2471
made even again 60
made even angels 45
made even atone 629
made even bluer 44
made even breathing 96
made even easier 8928
made even error 141
made even fewer 749
made even finer 313
made even large 49
made even later 493
made even local 44
made even longer 4080
made even lower 757
made even minor 113
made even moses 96
made even nicer 49
made even odder 105
made even paler 98
made even passing 81
made even people 236
made even peter 40
made even plain 45
made even pride 40
made even quite 41
made even safer 202
made even short 72
made even since 105
made even small 250
made even still 53
made even strong 69
made even thinking 45
made even though 29421
made even today 1904
made even under 475
made even walking 150
made even weaker 656
made even where 590
made even while 961
made even wider 411
made even within 521
made even women 187
made even worse 45840
made ever after 162
made ever easier 56
made ever since 5702
made ever wider 211
made eyes smart 41
made eyes water 80
made face masks 56
made fail again 88
made fair gains 67
made fair growth 86
made fair hands 84
made fair money 154
made fair speed 147
made fair terms 89
made fair trials 50
made fair wages 96
made fair weather 294
made fall river 58
made fall short 42
made fall under 107
made fall within 81
made farm labor 92
made farm loans 225
made farm tools 229
made fast about 738
made fast above 1159
made fast after 70
made fast again 675
made fast aloft 65
made fast below 258
made fast beneath 87
made fast close 177
made fast either 124
made fast money 69
made fast round 1671
made fast under 612
made fast until 155
made fast while 174
made fast within 107
made fell apart 50
made fell short 98
made felt boots 53
made film about 442
made film after 54
made film which 161
made fine birds 59
made fine clothing 48
made fine crops 48
made fine linen 210
made fine lines 42
made fine music 453
made fine plans 64
made fine roads 56
made fine sport 94
made fine spots 169
made fine wares 48
made fine weather 62
made fire proof 283
made fire under 46
made firm about 220
made firm again 284
made firm plans 280
made firm under 114
made fish cakes 147
made fish hooks 210
made fish ponds 125
made fish stock 57
made fish traps 200
made five bales 74
made five basic 77
made five bucks 79
made five calls 156
made five cents 153
made five chops 42
made five films 477
made five holes 69
made five hours 175
made five jumps 102
made five knots 85
made five large 78
made five loans 61
made five major 813
made five marks 135
made five miles 1079
made five months 1484
made five moves 47
made five others 62
made five pairs 66
made five people 46
made five phone 70
made five quick 42
made five raids 44
made five round 246
made five sales 130
made five short 222
made five shots 54
made five small 104
made five steps 76
made five stops 128
made five times 1530
made five tours 124
made five trials 61
made five trips 2227
made five types 50
made five weeks 375
made five yards 101
made flat again 62
made flat cakes 71
made flying raids 43
made flying safer 62
made flying trips 507
made folk heroes 331
made folk music 346
made food items 172
made food plays 43
made food taste 434
made fool proof 82
made form which 136
made four bales 45
made four balls 65
made four basic 317
made four brief 70
made four bumps 87
made four calls 235
made four cents 62
made four dozen 235
made four equal 48
made four false 66
made four field 57
made four films 740
made four gates 48
made four grand 46
made four halts 50
made four hearts 65
made four holes 144
made four hours 325
made four jumps 44
made four kinds 140
made four knots 109
made four large 324
made four leaves 97
made four lengthy 44
made four lines 180
made four loans 100
made four major 952
made four marks 93
made four miles 711
made four minor 44
made four months 2499
made four moves 109
made four pages 69
made four pairs 130
made four parts 1313
made four people 111
made four phone 141
made four piles 56
made four poles 46
made four quick 65
made four raids 70
made four roads 61
made four rooms 44
made four round 380
made four sales 75
made four short 250
made four sides 308
made four small 251
made four steps 223
made four stops 222
made four times 6286
made four tours 160
made four trials 56
made four trips 7485
made four turns 197
made four types 71
made four units 70
made four weeks 370
made four wills 41
made four women 53
made four yards 90
made free after 215
made free again 213
made free alike 50
made free gifts 313
made free goods 1025
made free labor 195
made free moral 48
made free ports 361
made free shall 66
made free since 41
made free throws 167
made free trade 1177
made free under 511
made free until 137
made free verse 107
made free where 49
made free white 114
made free within 117
made free would 45
made from about 15810
made from above 14986
made from acacia 463
made from acids 185
made from acorn 212
made from action 106
made from acute 166
made from adobe 742
made from adult 880
made from after 474
made from agate 382
made from agave 737
made from alder 529
made from allen 47
made from alloy 1525
made from alpha 250
made from amber 582
made from amino 1747
made from angles 157
made from angora 85
made from anise 287
made from anything 2204
made from apple 1742
made from april 729
made from arrow 43
made from ashes 589
made from aspen 322
made from assam 58
made from asses 59
made from athens 136
made from atoms 835
made from bacon 100
made from badly 334
made from baked 2594
made from baker 105
made from bales 72
made from balls 129
made from balsa 843
made from bands 104
made from banking 53
made from banks 149
made from barks 146
made from baser 42
made from bases 247
made from basic 2712
made from basil 132
made from batch 57
made from batik 314
made from beaten 1965
made from beaver 1317
made from beech 1713
made from beets 912
made from below 6394
made from beneath 194
made from bengal 546
made from berry 108
made from beryl 50
made from betel 121
made from biopsy 498
made from birch 5231
made from birds 304
made from bison 631
made from black 13935
made from blade 70
made from blame 60
made from blank 182
made from blast 273
made from block 390
made from blood 3946
made from blown 798
made from board 209
made from boars 52
made from boats 187
made from boiling 2499
made from bolts 217
made from bones 2347
made from books 1931
made from borax 175
made from bored 43
made from boron 383
made from bough 40
made from bound 166
made from boxes 1137
made from brain 501
made from brass 10048
made from breaking 47
made from breast 68
made from brewing 45
made from brick 829
made from brine 562
made from broad 538
made from broom 460
made from brown 7164
made from brush 305
made from built 231
made from bulky 71
made from bulls 61
made from burke 49
made from burls 47
made from burning 1165
made from burnt 4572
made from cable 342
made from cacao 1286
made from cairo 296
made from cakes 56
made from camel 1899
made from candy 336
made from canes 219
made from cards 97
made from carob 241
made from cases 186
made from casting 201
made from casts 347
made from cedar 5346
made from cells 1053
made from cereal 651
made from chaff 98
made from chain 458
made from chalk 1197
made from changing 55
made from chaos 229
made from chert 1340
made from chewing 49
made from chick 612
made from child 133
made from chile 151
made from chili 346
made from china 1793
made from chips 470
made from cider 887
made from cigar 590
made from civil 172
made from clams 109
made from class 237
made from clays 1055
made from cleft 145
made from close 656
made from clothing 117
made from cloths 79
made from cloud 51
made from clove 87
made from coals 167
made from coast 224
made from cobra 42
made from cocoa 4229
made from coils 540
made from coins 279
made from color 1860
made from conch 1664
made from cones 66
made from cooking 396
made from copra 169
made from coral 2713
made from cords 114
made from cores 299
made from corks 51
made from corning 72
made from court 117
made from cover 197
made from crabs 45
made from craft 146
made from creamy 83
made from crepe 836
made from crime 195
made from crisp 117
made from crops 309
made from cross 1090
made from crown 418
made from crude 4036
made from cuban 387
made from cubes 264
made from curds 206
made from cured 228
made from curly 107
made from cutting 492
made from daily 261
made from dairy 206
made from dates 1021
made from david 59
made from deadly 46
made from decay 42
made from delhi 148
made from denim 331
made from dense 409
made from depths 45
made from devil 44
made from diced 156
made from dirty 158
made from discs 119
made from disks 79
made from donor 142
made from doors 78
made from doped 233
made from dough 967
made from dover 137
made from dowel 231
made from downing 65
made from draft 50
made from drawing 118
made from drawn 1239
made from dreams 106
made from dress 66
made from dried 34859
made from drift 83
made from drill 412
made from drops 48
made from drugs 248
made from drums 43
made from ducks 44
made from durum 1733
made from dutch 284
made from earned 112
made from earnings 897
made from earthen 102
made from earthly 43
made from easily 769
made from ebony 622
made from egypt 573
made from eight 2204
made from either 47496
made from elder 1246
made from emery 40
made from empty 1530
made from enemy 43
made from epoxy 846
made from equal 1696
made from ergot 300
made from ethane 210
made from every 5395
made from exact 70
made from extra 924
made from facts 290
made from faded 44
made from faeces 70
made from falling 68
made from false 109
made from fancy 163
made from farming 630
made from father 157
made from fatty 1182
made from feather 102
made from feces 59
made from feeding 142
made from feeling 90
made from fence 141
made from fencing 115
made from ferns 77
made from fetal 87
made from fewer 143
made from fiber 2502
made from field 1114
made from fifty 533
made from files 219
made from filings 53
made from films 293
made from final 42
made from finding 77
made from finer 353
made from fired 903
made from firms 184
made from first 4654
made from fishing 468
made from fixed 686
made from flake 238
made from flame 148
made from flesh 614
made from flies 157
made from flint 4993
made from floor 227
made from flour 16805
made from fluid 394
made from folding 60
made from foods 565
made from force 106
made from forms 113
made from forty 381
made from found 1932
made from frame 68
made from fresh 20458
made from fried 244
made from frogs 79
made from front 326
made from fruit 7313
made from fully 5215
made from funds 1237
made from fungus 124
made from fused 2162
made from gaily 40
made from galls 122
made from gamay 350
made from gases 86
made from gates 48
made from gauze 400
made from genes 61
made from george 253
made from georgia 197
made from germs 46
made from getting 61
made from given 213
made from glass 31230
made from gleaming 40
made from glued 163
made from goats 1857
made from goods 172
made from goose 1844
made from gourd 320
made from grade 876
made from grain 22366
made from grand 83
made from grape 2548
made from grass 3716
made from grease 154
made from greek 3663
made from green 10402
made from grits 73
made from gross 1132
made from group 611
made from growing 257
made from grown 47
made from growth 331
made from guano 151
made from guava 226
made from guinea 227
made from gunny 175
made from habit 95
made from hairs 128
made from hazel 507
made from healthy 310
made from hearts 45
made from heated 599
made from heather 272
made from heaven 2035
made from hence 616
made from henna 230
made from henry 196
made from herbs 5234
made from herring 254
made from hides 1119
made from hippo 142
made from holding 118
made from holly 336
made from homer 226
made from honey 14216
made from hoofs 98
made from hoops 45
made from horns 296
made from horse 2806
made from hotel 96
made from house 2630
made from housing 113
made from human 22150
made from hunting 150
made from husks 68
made from idaho 45
made from index 88
made from indian 8778
made from inert 248
made from inner 559
made from input 42
made from invar 159
made from iodine 240
made from irish 1506
made from isaiah 45
made from islam 107
made from israel 128
made from italy 508
made from items 346
made from ivory 6356
made from james 449
made from japan 778
made from jelly 56
made from jesus 53
made from joining 87
made from joint 107
made from juice 462
made from jungle 153
made from kapok 73
made from keeping 79
made from khaki 47
made from killing 57
made from knots 82
made from knowing 83
made from known 1145
made from kodak 58
made from labor 146
made from lambs 75
made from lands 107
made from larch 194
made from large 9558
made from larvae 119
made from laser 170
made from later 284
made from latex 4441
made from latin 1668
made from layer 107
made from leaded 68
made from learning 46
made from leather 14040
made from leaves 12720
made from leeks 49
made from legal 215
made from lemon 2272
made from lending 188
made from lengths 1902
made from letting 45
made from level 149
made from light 10844
made from limbs 69
made from limes 90
made from linear 589
made from linen 11904
made from lines 201
made from linking 42
made from links 73
made from lipid 43
made from lists 1262
made from liver 446
made from llama 378
made from loans 129
made from local 20656
made from logging 94
made from logic 59
made from longer 492
made from looking 358
made from loops 83
made from loose 630
made from lotus 324
made from lower 1625
made from lumps 157
made from lunar 171
made from luther 341
made from lymph 164
made from magic 312
made from magma 135
made from maine 125
made from maize 21506
made from major 206
made from mangoes 71
made from manioc 1418
made from maple 3786
made from march 554
made from mares 163
made from marsh 203
made from masking 78
made from match 85
made from matting 56
made from matzo 141
made from meadow 41
made from mecca 43
made from medial 123
made from melon 101
made from melting 303
made from melts 58
made from metal 30660
made from methyl 777
made from micro 244
made from milan 126
made from milks 86
made from milky 71
made from mined 124
made from minor 59
made from mixed 1052
made from mixes 748
made from model 591
made from moist 150
made from molding 215
made from molds 1492
made from moldy 387
made from money 882
made from moose 832
made from morning 111
made from mother 1003
made from motion 104
made from motor 291
made from mount 327
made from mouse 185
made from music 334
made from mylar 159
made from myrrh 130
made from nails 467
made from names 123
made from nasal 70
made from naval 57
made from nearby 794
made from nearly 499
made from nerve 210
made from netting 348
made from newer 57
made from newly 854
made from night 176
made from noble 145
made from notes 572
made from nouns 663
made from novel 97
made from nylon 8251
made from oblong 49
made from ocher 106
made from offal 159
made from oiled 263
made from older 757
made from olive 2942
made from omega 166
made from onions 254
made from opium 1017
made from orange 4141
made from orbit 81
made from others 1166
made from otter 129
made from outer 460
made from oxide 394
made from packing 2727
made from paddy 234
made from pages 155
made from paint 114
made from pairs 248
made from palms 171
made from paper 23841
made from paris 1356
made from parts 4518
made from party 226
made from pasta 147
made from paste 277
made from peanut 578
made from pearls 385
made from pedro 117
made from pelts 111
made from people 853
made from period 530
made from peter 71
made from petty 288
made from phase 93
made from phone 97
made from photo 457
made from picking 44
made from piece 225
made from pigeon 126
made from piled 213
made from piles 131
made from pines 45
made from pipes 199
made from pitch 668
made from pizza 84
made from place 641
made from placing 50
made from plain 6054
made from plane 97
made from plank 99
made from plans 224
made from plant 15148
made from plate 1257
made from plato 65
made from playing 311
made from plays 410
made from plots 64
made from plums 1249
made from poetry 46
made from point 1129
made from polar 234
made from poles 614
made from pools 127
made from poppy 868
made from ports 72
made from posts 88
made from pouring 116
made from power 106
made from press 99
made from price 118
made from prime 367
made from print 94
made from pulps 95
made from pulse 66
made from purer 74
made from putting 83
made from putty 50
made from pyrex 655
made from queen 136
made from quick 378
made from quill 42
made from quite 462
made from radar 138
made from raffia 515
made from rails 121
made from raising 99
made from ramie 397
made from rapid 49
made from rates 40
made from rather 982
made from rayon 2382
made from razor 127
made from readings 87
made from really 73
made from reason 56
made from reeds 4657
made from renting 77
made from rents 91
made from resin 1474
made from resting 46
made from rhino 177
made from right 1866
made from rigid 1275
made from riper 55
made from river 1267
made from roast 141
made from rocks 2035
made from rocky 76
made from rolling 135
made from rolls 392
made from roman 888
made from roofing 130
made from roots 1948
made from ropes 271
made from roses 300
made from rosin 666
made from rotting 148
made from rough 3170
made from round 6072
made from rowan 144
made from royal 244
made from rules 52
made from running 305
made from rural 75
made from russia 294
made from rusty 81
made from sable 262
made from sacking 242
made from sacks 171
made from sails 53
made from saint 49
made from salad 92
made from salem 111
made from sales 744
made from salts 148
made from sands 62
made from sandy 138
made from santa 151
made from sapling 81
made from satin 389
made from savings 287
made from sawed 258
made from scale 158
made from scott 53
made from scrap 14502
made from sedge 47
made from seeds 1422
made from selling 12976
made from senna 75
made from sense 290
made from serial 703
made from serum 388
made from serving 42
made from seven 1938
made from shale 984
made from shape 60
made from shark 641
made from sharp 167
made from sheep 21298
made from sheer 224
made from sheet 9214
made from shell 5086
made from shining 94
made from shiny 529
made from ships 1009
made from shirt 54
made from shops 49
made from shore 373
made from short 2056
made from signs 54
made from silks 102
made from silky 73
made from sinew 366
made from sisal 950
made from sites 79
made from sitting 50
made from sixty 193
made from skins 2078
made from skull 95
made from slabs 1537
made from slack 146
made from slate 906
made from slats 179
made from slave 291
made from slide 87
made from slips 85
made from small 29064
made from smears 150
made from smoke 132
made from smooth 511
made from snail 160
made from snake 565
made from soaking 319
made from social 547
made from socks 124
made from soils 76
made from solar 215
made from solid 18434
made from sound 1932
made from space 3226
made from spain 865
made from spare 200
made from spent 755
made from sperm 279
made from split 4490
made from sponge 414
made from spongy 67
made from spray 112
made from springs 121
made from squid 101
made from stage 239
made from stale 1092
made from stars 88
made from start 1896
made from state 1516
made from steel 40933
made from steer 47
made from stems 721
made from stick 48
made from stiff 1596
made from still 610
made from stock 7876
made from stone 11162
made from stool 89
made from store 618
made from stout 825
made from stove 56
made from strap 164
made from straw 9194
made from stream 56
made from strings 247
made from strip 805
made from strong 3262
made from study 216
made from stuff 144
made from suede 109
made from sugar 16086
made from sumac 157
made from super 344
made from surat 62
made from swabs 73
made from swamp 386
made from sweet 6472
made from swine 125
made from swiss 228
made from syriac 288
made from syrup 350
made from table 4736
made from tansy 95
made from taped 41
made from tapes 195
made from taxed 44
made from taxes 105
made from teaching 219
made from terms 57
made from terry 54
made from tests 206
made from texas 1010
made from texts 153
made from thatch 136
made from thence 2168
