saddest mourners felt 94
sadness descends upon 59
sadness emanated from 94
sadness emanates from 57
sadness pervades these 140
sadness resulted from 42
sadness vanished from 84
saffron ascended into 44
saffron currents flow 55
saffron prepared three 52
sailors borrowed from 58
sailors captured during 58
sailors captured from 60
sailors deserted from 239
sailors deserted their 263
sailors followed suit 47
sailors followed their 52
sailors mutinied from 113
sailors proposed making 58
sailors received from 41
sailors received their 85
sailors reported seeing 51
sailors returned from 330
sailors returned home 196
sailors squabbling over 76
sailors stationed here 44
sailors stationed there 344
sailors suffered from 163
sailors ventured into 60
sailors vulgarly call 272
sainted departed soul 217
saintly buddhist monk 81
saintly impulses whom 51
salable products from 125
salable products such 69
salable products were 42
salient concepts from 41
salient economic fact 41
salient elements from 71
salient episodes from 57
salient examples from 119
salient examples will 106
salient excerpts from 84
salient external cues 82
salient extracts from 74
salient insights into 65
salient passages from 417
salient passages were 54
salient problems facing 54
salient projecting into 121
salient protruding into 139
salient respects from 63
salient variables such 51
sallied suddenly into 99
saloons remained open 89
saltine crackers into 40
salutes everyone whom 44
salvage affected teeth 134
salvage attempts have 45
salvage attempts were 199
salvage materials from 346
salvage operation ever 75
salvage operation from 78
salvage operation must 72
salvage operation took 118
salvage operation were 64
salvage operation when 64
salvage operation will 76
salvage proceeds from 53
salvage services from 536
salvage services have 412
salvage services must 61
salvage services upon 199
salvage services were 663
salvaging materials from 89
sampled children from 48
sampled children were 66
sampled directly from 1220
sampled directly into 95
sampled families were 119
sampled randomly from 1066
sampled reported having 117
sampled students from 112
sampled students were 114
sampled villages were 149
samples acquired during 84
samples acquired from 152
samples actually came 41
samples actually used 70
samples analyzed during 197
samples analyzed from 738
samples analyzed have 232
samples analyzed here 211
samples analyzed over 83
samples analyzed show 51
samples analyzed were 909
samples averaged over 252
samples combined from 41
samples combined into 42
samples commonly used 100
samples compared were 65
samples concerning their 42
samples consisting only 72
samples containing even 43
samples containing free 87
samples containing from 589
samples containing heavy 69
samples containing high 1133
samples containing iron 284
samples containing less 2872
samples containing many 285
samples containing more 3418
samples containing much 656
samples containing none 48
samples containing only 2414
samples containing other 103
samples containing over 445
samples containing single 97
samples containing some 123
samples containing such 88
samples containing these 272
samples containing three 74
samples containing very 335
samples decreased from 102
samples decreases from 41
samples differed from 295
samples differed only 76
samples directly from 823
samples directly into 475
samples directly onto 118
samples elicited from 80
samples employed were 70
samples examined during 269
samples examined from 1119
samples examined gave 46
samples examined have 129
samples examined here 230
samples examined over 81
samples examined show 44
samples examined there 144
samples examined were 807
samples excluded from 47
samples exhibiting high 56
samples imported from 78
samples included here 124
samples included many 40
samples included more 49
samples included only 332
samples included some 70
samples included those 47
samples included three 44
samples increased from 213
samples increases from 81
samples injected into 139
samples inserted into 53
samples involved were 70
samples isolated from 1048
samples machined from 101
samples normally used 60
samples observed will 135
samples obtained during 2082
samples obtained early 92
samples obtained from 19970
samples obtained have 62
samples obtained more 43
samples obtained over 400
samples obtained prior 141
samples obtained were 610
samples obtained when 117
samples obtained will 65
samples occurred during 64
samples operated upon 49
samples prepared from 3141
samples prepared were 130
samples probably came 59
samples probably come 50
samples probably have 57
samples probably were 58
samples probably will 45
samples procured from 93
samples produced during 103
samples produced from 398
samples produced more 52
samples produced only 94
samples produced were 81
samples provided from 70
samples provided here 61
samples provides some 44
samples purified from 96
samples quenched from 924
samples randomly from 250
samples received during 65
samples received from 917
samples received were 79
samples recorded during 89
samples recorded from 93
samples reported from 61
samples reported having 45
samples reported here 331
samples reported upon 42
samples required from 76
samples required will 70
samples requires more 44
samples requires some 51
samples resulted from 162
samples retained their 117
samples returned from 593
samples selected during 48
samples selected from 2497
samples selected were 160
samples separate from 45
samples suffered from 78
samples withdrawn during 76
samples withdrawn from 1055
samurai families were 220
samurai received their 85
samurai stipends were 66
sanction bestowed upon 51
sanction deviations from 240
sanction directly from 41
sanction obtained from 307
sanction required from 45
sanction whatever from 120
sandals complete their 52
sandals fashioned from 83
sandlot baseball game 390
sandlot baseball teams 94
sandlot football game 132
sanguine admirers have 54
sanguine builders have 51
sapless vagabond from 59
sapwood contains more 44
