waitress looked confused 41
wandered around barefoot 49
wandered around collecting 41
wandered around downtown 352
wandered around inspecting 46
wandered around upstairs 95
wandered around washington 71
wandered beyond railways 112
wandered through beautiful 48
wandered through churches 55
wandered through deserted 267
wandered through downtown 48
wandered through eternity 256
wandered through kentucky 60
wandered through prairies 91
wandered through scotland 59
wandered through villages 194
wandered through washington 45
wandered without direction 87
wariness toward strangers 151
warranting further attention 140
warranting serious attention 94
warranting special attention 340
warranting special treatment 90
warrants before conducting 60
warrants closer analysis 137
warrants closer attention 770
warrants closer scrutiny 878
warrants further analysis 994
warrants further attention 2816
warrants further clinical 282
warrants further critical 63
warrants further detailed 183
warrants further emphasis 55
warrants further scrutiny 584
warrants further treatment 98
warrants greater attention 746
warrants greater emphasis 40
warrants hereto attached 58
warrants issued pursuant 506
warrants little attention 59
warrants prompt attention 57
warrants serious attention 1168
warrants should normally 158
warrants special attention 5948
warrants special emphasis 480
warrants special scrutiny 124
warrants special treatment 594
warrants strict scrutiny 50
warrants urgent attention 180
warrants urgent treatment 141
warrants without probable 285
warranty repair services 105
warships cruising offshore 45
warships seized american 40
warships standing offshore 59
warships turned northward 76
wasteful excess capacity 95
wasteful methods employed 128
watchful english cruisers 41
waterway system connecting 51
waveform output waveform 142
wavelength dipole antennas 135
wavelength routed networks 582
wealthiest english benefice 94
wealthiest jewish families 222
wealthiest landed families 45
wealthiest school district 95
weariness seemed suddenly 44
weekdays except holidays 133
weekdays versus weekends 321
weekends versus weekdays 58
weighted almost entirely 42
weighted annual averages 120
weighted factor analysis 165
weighted images acquired 341
weighted images compared 319
weighted images obtained 621
weighted images relative 95
weighted images suggests 63
weighted market portfolio 694
weighted matching algorithm 88
weighted nearest neighbor 326
weighted random selection 161
weighted scores assigned 115
weighted scores obtained 43
weighted tariff averages 282
weighted toward business 64
weighted toward economic 74
weighted toward military 115
weighted values assigned 124
welcomed closer relations 41
welcomed english education 54
welcomed jewish refugees 124
welcomed jewish settlers 59
welcomed little children 95
welcomed sexual advances 49
welcomed without suspicion 40
welcomes visiting scholars 114
westerly angular momentum 390
westerly course parallel 54
westward across illinois 46
