babies require special care 54
backed sturgeon slowly swim 46
barely assumed office when 51
barely avoided crashing into 50
barely escaped injury when 61
barely produce enough food 56
barely scraped through high 60
barely stepped inside when 66
barely stopped myself from 102
barred federal courts from 110
battle against fearful odds 317
battle against weight gain 42
battle between opposing ideas 42
battle quickly turned into 66
battling against fearful odds 89
became evident almost from 62
became evident enough when 60
became evident fairly early 46
became extinct without leaving 202
became friends through their 70
became glaringly obvious during 50
became glaringly obvious when 70
became official policy during 49
became official policy when 88
became visible through their 46
become abusive toward their 43
become adapted without much 94
become defiled through their 54
become evident through their 58
become extinct before their 77
become extinct through lack 47
become extinct without ever 60
become extinct without leaving 254
become familiar through many 57
become familiar through their 170
become friends through their 180
become glaringly obvious when 43
become hostile toward other 54
become hostile toward their 58
become meaningful through their 61
become popular through their 47
become princes through their 57
become several layers thick 83
become visible through their 93
before advancing another step 58
before advancing further into 63
before ancient england knew 47
before annuity starting date 172
before anybody except young 51
before appeared before such 84
before beginning actual work 73
before british troops were 81
before congress should meet 128
before federal troops were 89
before finally arriving back 101
before finally becoming part 54
before finally bursting into 47
before finally crashing into 51
before finally deciding upon 353
before finally deciding what 94
before finally dropping down 49
before finally dropping into 40
before finally emerging from 85
before finally emerging into 81
before finally emptying into 127
before finally entering into 66
before finally escaping from 45
before finally retiring from 155
before finally settling back 175
before finally settling down 3174
before finally settling into 678
before finally settling there 47
before finally settling upon 97
before finally slipping into 114
before finally touching down 105
before general readers such 66
before general william howe 65
before gregory became pope 108
before harvest another rice 42
before launching itself into 51
before mahatma gandhi came 57
before matters reached such 67
before mercury spills over 53
before napoleon should have 42
before outdoor planting time 193
before receiving notice from 73
before receiving orders from 108
before several balsas were 94
before spanish troops were 44
before trickling slowly down 50
before venturing farther into 56
before venturing further into 118
before woodrow wilson took 49
begins shortly before birth 74
behaving morally toward these 106
beheld beatrice emerging from 180
beheld himself hurrying from 43
beheld himself stepping from 42
behind curtain number three 96
behold certain images sent 45
behold quivering through aerial 60
belief against something else 47
belief implies something more 59
belief systems affect their 44
belief systems differ from 70
bestow funeral honors upon 73
better because someone else 50
better dwellings without making 174
better executing former acts 48
better guarded thereby from 42
better inquire further from 73
better overall mental health 59
better protect itself from 85
better protect public health 64
better quality thrusts back 222
better results follow from 50
better results should have 40
better success another time 166
beyond certain limits from 44
beyond certain limits will 81
beyond everything through food 44
bigger problem arises when 46
bigger problem occurs when 43
billed abounds farther south 45
billion between fiscal years 116
billion defense spending bill 43
billion dollars flowed into 57
billion dollars poured into 57
billion standby credit from 94
binary language object code 67
binary numbering system used 56
binary numbering system uses 142
bitter custody battle over 99
bitter enemies through life 64
bitter lessons learned from 88
bitter national debate over 72
blacks against whites were 43
bleeding usually arises from 147
bleeding usually occurs during 116
bleeding usually occurs from 218
bleeding usually occurs when 44
bloody victory gained over 77
bodies exhibit sundry leading 40
bodies remaining entire were 69
bodies revolve around their 82
bodies revolving around their 89
boldly planted myself upon 51
boldly promise myself soon 53
bolted together through their 52
bottle tightly closed when 248
bought himself enough time 51
bought several pieces from 57
bounce kittens pounce lions 48
boyish passions should have 125
brains rattled inside like 45
branch manager should have 56
branch strikes itself down 61
branch usually arises from 59
breeding grounds farther north 210
breeding grounds further north 56
bridge extending upward from 193
bright fancies fallen into 68
bright islands whence your 57
bright overhead lights were 44
bright ribbons around their 42
broken bottles without taking 56
broken cavalry behind some 56
broken remarks edward made 90
broken soldier kindly bade 109
bronze incense burner from 51
bronze mercury looked best 59
brother general william howe 55
brother officer should have 134
brother solomon should have 130
brutal monster sailed back 45
budget deficit occurs when 291
budget deficit turned into 46
budget science fiction film 157
budget surplus occurs when 127
budget surplus turned into 53
buffer against attack from 81
building complex models from 127
building located across from 52
building measures agreed upon 51
building permits issued during 269
building program without losing 50
building several blocks away 510
building several blocks from 324
bumped against something hard 84
bumped against something soft 46
burden weighed heavily upon 90
buried certain fathoms deep 41
buried herself deeper into 42
buried himself deeper into 70
buried several inches deep 121
buried several layers deep 110
butter mixture evenly over 165
button becomes active when 67
