do all right financially 50
do any thinking beforehand 67
do but watch helplessly 100
do his bidding regardless 43
do not abuse substances 170
do not admit sufficient 89
do not adopt innovations 76
do not agree absolutely 127
do not agree beforehand 84
do not agree completely 1432
do not alarm yourselves 108
do not align vertically 42
do not allow adequately 80
do not allow adjustment 65
do not allow application 72
do not allow appropriate 50
do not allow assessment 157
do not allow assignment 47
do not allow calculation 162
do not allow comparison 232
do not allow competition 113
do not allow conclusions 593
do not allow conclusive 76
do not allow concurrent 53
do not allow continuous 93
do not allow definitive 264
do not allow distinction 148
do not allow distinguishing 114
do not allow duplicates 103
do not allow electrical 40
do not allow examination 103
do not allow foreigners 210
do not allow government 63
do not allow individual 322
do not allow inferences 142
do not allow information 99
do not allow interaction 60
do not allow limitations 426
do not allow management 94
do not allow measurement 99
do not allow observation 131
do not allow penetration 95
do not allow politicians 46
do not allow predictions 93
do not allow preposition 53
do not allow recognition 103
do not allow researchers 358
do not allow scientists 57
do not allow statements 69
do not allow successful 42
do not allow sufficient 1773
do not allow systematic 41
do not allow traditional 59
do not allow yourselves 1748
do not alone constitute 625
do not alter appreciably 244
do not alter management 42
do not amuse yourselves 48
do not appeal immediately 48
do not appear absolutely 51
do not appear adequately 55
do not appear aggressive 49
do not appear applicable 189
do not appear appreciably 68
do not appear appropriate 176
do not appear attractive 174
do not appear clinically 92
do not appear comparable 57
do not appear compatible 113
do not appear completely 204
do not appear conclusive 173
do not appear consistent 449
do not appear correlated 56
do not appear distinctly 196
do not appear distressed 56
do not appear essentially 52
do not appear everywhere 111
do not appear explicable 48
do not appear explicitly 2449
do not appear externally 222
do not appear formidable 44
do not appear frequently 557
do not appear homogeneous 44
do not appear immediately 1239
do not appear impossible 53
do not appear impressive 63
do not appear incongruous 68
do not appear interested 597
do not appear ordinarily 75
do not appear overwhelming 56
do not appear personally 115
do not appear physically 147
do not appear profitable 99
do not appear remarkable 75
do not appear responsive 44
do not appear ridiculous 42
do not appear separately 603
do not appear substantial 92
do not appear successful 60
do not appear sufficient 916
do not apply absolutely 59
do not apply accurately 113
do not apply completely 44
do not apply everywhere 140
do not apply fertilizer 120
do not apply immediately 79
do not apply pesticides 53
do not apply rigorously 45
do not apply scientific 48
do not apply sufficient 49
do not apply yourselves 54
do not argue explicitly 47
do not arise absolutely 73
do not arise completely 105
do not arise frequently 178
do not arise immediately 259
do not arise inevitably 80
do not arise separately 57
do not avail respondent 167
do not avail yourselves 135
do not avenge yourselves 340
do not avoid infringement 81
do not begin immediately 266
do not begin menstruating 45
do not belong absolutely 55
do not belong completely 113
do not belong essentially 113
do not belong immediately 71
do not belong originally 80
do not blame individual 57
do not blame yourselves 189
do not bleed abnormally 136
do not bother yourselves 74
do not breathe underwater 40
do not build confidence 94
do not build structures 46
do not carry contraband 198
do not carry electrical 86
do not carry information 643
do not carry sufficient 520
do not cater adequately 54
do not cause alterations 63
do not cause appreciable 455
do not cause clinically 153
do not cause coagulation 121
do not cause contraction 75
do not cause convulsions 50
do not cause degradation 137
do not cause dependence 129
do not cause destruction 143
do not cause detectable 115
do not cause difficulty 191
do not cause disability 56
do not cause discomfort 397
do not cause displeasure 55
do not cause distortions 53
do not cause drowsiness 582
do not cause flatulence 56
do not cause hemorrhage 40
do not cause impairment 63
do not cause indigestion 64
do not cause intestinal 57
do not cause mechanical 57
do not cause observable 44
do not cause obstruction 419
do not cause particular 50
do not cause persistent 62
do not cause revolutions 70
do not cause segregation 59
do not cause spontaneous 85
do not cause stimulation 43
do not cause structural 142
do not cause substantial 263
do not cause sufficient 242
do not cause unexpected 82
do not change appreciably 3990
do not change chemically 123
do not change completely 120
do not change composition 45
do not change essentially 305
do not change frequently 717
do not change immediately 311
do not change internally 50
do not change orientation 106
do not change physically 46
do not change regardless 378
do not change remarkably 81
do not check references 102
do not claim competence 54
do not claim inspiration 167
do not claim membership 96
do not claim scientific 44
