damp down fluctuations in 58
dams were constructed as 42
dams were constructed at 132
dams were constructed by 162
dams were constructed in 609
dams were constructed of 116
dams were constructed on 788
dams were constructed to 434
dark areas corresponding to 173
dark band corresponding to 178
dark band corresponds to 72
dark blue precipitate is 91
dark blue precipitate of 240
dark fringe corresponds to 47
dark line corresponding to 70
dark line corresponds to 46
dark room illuminated by 85
dark spot corresponding to 88
dark ways underground be 172
dash line corresponds to 216
data also contributes to 55
data also corroborate the 49
data also demonstrate the 349
data also highlighted the 51
data also illustrates the 63
data bank established by 51
data base constructed by 64
data base corresponding to 97
data base corresponds to 189
data base environment is 288
data base established by 93
data base established in 46
data base organization is 69
data base represented by 66
data data represented by 62
data during transmission or 44
data file corresponding to 99
data file corresponds to 54
data from assessments of 46
data from communities in 42
data from comparisons of 108
data from experiments at 142
data from experiments by 94
data from experiments in 1015
data from experiments of 144
data from experiments on 743
data from experiments or 136
data from experiments to 99
data from individuals in 194
data from individuals of 56
data from individuals on 99
data from individuals or 72
data from individuals to 55
data from institutions of 56
data from instruments on 42
data from measurements at 99
data from measurements in 143
data from measurements of 537
data from measurements on 163
data from observations at 49
data from observations in 118
data from observations of 567
data from observations on 152
data from publications of 66
data from respondents in 143
data from respondents on 40
data from respondents to 42
data have accumulated in 154
data have accumulated on 255
data have accumulated to 428
data have contributed to 325
data have established the 226
data have highlighted the 68
data into percentages of 60
data item corresponding to 85
data item corresponds to 44
data mining applications in 202
data mining applications is 79
data mining applications on 83
data mining applications to 72
data more effectively in 42
data more efficiently by 69
data more efficiently in 60
data must continually be 44
data must necessarily be 265
data rate corresponding to 183
data rate corresponds to 57
data rate requirement of 106
data rate transmission or 138
data sets corresponding to 675
data sets encountered in 81
data sets represented by 133
data show differences in 147
data type corresponding to 160
data type corresponds to 128
data type represented by 81
data were accompanied by 74
data were accumulated at 57
data were accumulated by 146
data were accumulated in 220
data were accumulated on 355
data were accumulated to 175
data were categorized as 119
data were categorized by 77
data were complicated by 78
data were constructed by 107
data were contributed by 188
data were distributed by 45
data were distributed in 105
data were distributed to 74
data were established by 62
data were established in 47
data were independent of 85
data were interpreted as 3492
data were interpreted by 443
data were interpreted in 722
data were interpreted on 112
data were interpreted to 1078
data were manipulated in 57
data were manipulated to 76
data were represented as 243
data were represented by 214
data were represented in 95
data were significant at 65
