damaged painted surfaces and 46
damages resulting therefrom are 51
deadlock between governor and 45
deafness following treatment with 97
debated between socrates and 140
debates between catholics and 123
debates between einstein and 68
debates between idealists and 48
debates between liberals and 340
debates between marxists and 121
debates between students and 45
decades between waterloo and 53
decades increasing attention has 166
decades strongly suggests that 134
deceive himself respecting them 66
decided against continuing his 53
decided against continuing with 64
decided against proceeding with 128
decided against publishing his 73
decided against publishing them 43
decision between progress and 133
decision involving partition has 151
decision process requires that 81
decision process suggests that 83
decision regarding treatment for 41
decision strongly suggests that 206
decision support software and 96
decision support software for 250
decision support software that 106
declare himself bankrupt and 97
declare himself eligible for 59
declare invalid whatever was 48
declare several variables with 44
declaring himself ignorant how 43
decrease arterial pressure and 101
decrease calcium excretion and 44
decrease gastric motility and 232
decrease gastric secretion and 97
decrease insulin secretion and 41
decrease protein synthesis and 46
decrease uterine activity and 114
decreasing arterial pressure and 72
decrees against heretics and 49
deducting operating expenses and 205
deepest anxiety respecting her 54
default network protocol for 61
default segment register for 96
defending himself manfully with 84
defending private property and 92
defends private property and 56
defense against aircraft and 115
defense against bacterial and 217
defense against chemical and 107
defense against conscious and 126
defense against economic and 45
defense against external and 101
defense against external foes 108
defense against infection and 958
defense against infection are 84
defense against infection with 138
defense against internal and 120
defense against liability for 518
defense against microbes and 96
defense against missiles and 72
defense against pathogens and 303
defense against pathogens that 141
defense against predation and 49
defense counsel admitted that 85
defense counsel believes that 320
defense counsel conceded that 173
defense counsel objected that 160
defense offered evidence that 90
deficit between receipts and 78
deficit between revenues and 43
defined benefit accruals for 103
defined mineral deposits that 135
defined national identity and 43
defines general concepts and 54
defines several functions that 114
degrees organic elements and 47
deliver medical services and 42
deliver medical supplies and 67
deliver quality products and 367
deliver quality services and 69
deliver superior products and 60
demands careful analysis and 170
demands careful attention and 240
demeaned himself strangely had 79
denotes results obtained using 130
density between particle and 92
density rapidly increases with 40
density remains constant and 192
density remains constant for 85
density remains constant with 84
descent towards darkness was 45
descent towards equality and 45
deserve careful analysis and 89
deserve careful attention and 251
deserve careful attention for 48
deserve careful scrutiny and 86
designing research projects and 48
designing research projects that 97
desired operating pressure and 48
desired patient outcomes and 335
desired patient outcomes are 48
desired peaceful relations with 85
desired student outcomes and 101
despite increasing evidence that 481
despite language barriers and 48
despite massive american aid 75
despite massive evidence that 41
despite medical evidence that 110
despite medical treatment and 82
despite optimal treatment with 53
despite repeated attempts and 90
despite repeated evidence that 139
despite repeated failures and 79
despite repeated promises that 46
despite repeated protests and 49
despite repeated requests and 141
despite repeated requests for 382
despite repeated requests that 160
despite repeated setbacks and 99
despite research evidence that 46
despite research indicating that 126
despite research suggesting that 43
despite studies indicating that 103
destroy british commerce and 44
destroy foreign invaders and 43
destroy natural aversions and 41
destroy natural habitats and 65
destroy private property and 198
destroy private property but 43
destroy private property for 96
detente between washington and 207
develop alcohol problems than 57
develop behavior patterns and 52
develop behavior patterns that 468
develop behavior problems and 67
develop behavior problems than 50
develop between children and 144
develop between employer and 77
develop between families and 52
develop between managers and 68
develop between officers and 45
develop between patients and 91
develop between students and 172
develop between therapist and 82
develop central necrosis and 60
develop certain physical and 40
develop certain relations with 77
develop chronic infection and 74
develop chronic infection with 56
develop creative solutions and 63
develop creative solutions for 99
develop creative solutions that 193
develop exchange programs with 50
develop following treatment with 54
develop general formulas for 94
develop marketing programs for 63
develop marketing programs that 88
develop meaningful relations with 65
develop national industry and 63
develop national policies and 133
develop national policies for 96
develop national policies that 53
develop peaceful relations and 61
develop peaceful relations with 108
develop research programs and 47
develop research programs that 172
develop research projects and 67
develop research projects that 93
develop research questions and 153
develop research questions that 96
develop similar programs for 70
develop stronger relations with 56
develop student interest and 64
develop support networks and 44
develop support networks for 67
develop support services for 60
develop unified programs and 49
develop uniform policies and 40
develop urinary retention and 44
develop written policies and 169
develop written policies for 89
deviation between computed and 54
deviation between expected and 128
deviation between forecast and 43
deviation between observed and 596
devices hitherto invented for 42
devices include printers and 57
devoted himself earnestly and 86
devoted himself entirely and 100
devoted himself zealously and 56
devotes himself earnestly and 254
devotion usually reserved for 57
devouring hapless mariners who 44
diabetic patient presenting with 60
diabetic patient presents with 67
diagonal tensile stresses are 84
dialogue between academic and 79
dialogue between achilles and 203
dialogue between africans and 75
dialogue between american and 186
dialogue between analysts and 50
dialogue between anglicans and 60
dialogue between antigone and 100
dialogue between audience and 105
dialogue between augustus and 46
dialogue between australia and 70
dialogue between belgrade and 61
dialogue between believer and 54
dialogue between buddhism and 403
dialogue between business and 571
dialogue between catherine and 44
dialogue between catholics and 719
dialogue between children and 255
dialogue between christian and 349
dialogue between citizens and 405
dialogue between clarinet and 70
dialogue between clinician and 70
dialogue between columbus and 52
dialogue between composer and 49
dialogue between computer and 112
dialogue between conscious and 87
dialogue between cromwell and 49
dialogue between cultures and 442
dialogue between customer and 111
dialogue between designer and 112
dialogue between developing and 59
dialogue between director and 45
dialogue between dominant and 50
dialogue between economic and 50
dialogue between einstein and 45
dialogue between elizabeth and 101
dialogue between employee and 43
dialogue between employer and 98
dialogue between europeans and 80
dialogue between fairness and 58
dialogue between falstaff and 93
dialogue between feminism and 224
dialogue between feminist and 46
dialogue between florence and 58
dialogue between franklin and 122
dialogue between habakkuk and 52
dialogue between heinrich and 53
dialogue between hinduism and 137
dialogue between humanity and 109
dialogue between identity and 122
dialogue between industry and 271
dialogue between internal and 43
dialogue between japanese and 57
dialogue between liberals and 97
dialogue between literary and 51
dialogue between lutherans and 99
dialogue between majority and 47
dialogue between managers and 232
dialogue between margaret and 62
dialogue between marxists and 383
dialogue between medicine and 82
dialogue between minister and 72
dialogue between narrator and 200
dialogue between observer and 52
dialogue between odysseus and 90
dialogue between officials and 98
dialogue between orthodoxy and 40
dialogue between pakistan and 78
dialogue between patients and 125
dialogue between penelope and 57
dialogue between pericles and 54
dialogue between physician and 201
dialogue between planners and 192
dialogue between politics and 69
dialogue between practice and 73
dialogue between producer and 93
dialogue between religions and 155
dialogue between religious and 96
dialogue between rosalind and 78
dialogue between scholars and 185
dialogue between sociology and 110
dialogue between socrates and 1762
dialogue between students and 907
dialogue between supplier and 55
dialogue between theologians and 201
dialogue between therapist and 373
dialogue between tradition and 301
dialogue between unionists and 48
dialogue between vladimir and 47
dialogue between washington and 414
dialogue between yourself and 384
dietary factors essential for 47
dietary surveys indicate that 191
differing opinions concerning this 45
differs between children and 202
differs between patients with 125
diffuse hepatic fibrosis and 51
digital library services and 52
dignity against strangers and 40
dilemma between autonomy and 72
dilemma between equality and 75
dilemma between internal and 101
dilemma between security and 49
dilemma between tradition and 48
directs protein synthesis and 55
disarming certain counties was 51
discern between authentic and 48
discord between catholics and 101
discord between employer and 99
discord between families and 61
discord between husbands and 160
discord between washington and 205
discuss certain problems that 190
discuss certain problems with 116
discuss certain questions that 91
discuss certain questions with 81
discuss certain subjects with 58
discuss company business with 60
discuss company policies and 55
discuss current problems and 373
discuss current problems with 83
discuss general problems and 71
discuss marital problems with 58
discuss matters directly with 105
discuss medical problems with 62
discuss national problems and 62
discuss national problems with 50
discuss official business with 55
discuss quality problems and 68
discuss results obtained with 64
