gain among husbands caring 66
gain deep insights into 172
gain early insights into 42
gain from property held 209
gain full benefits from 65
gain great benefits from 242
gain great insights into 117
gain health benefits from 109
gain many benefits from 380
gain many insights from 41
gain many insights into 426
gain more attention from 399
gain more authority over 50
gain more autonomy from 217
gain more benefits from 388
gain more business from 46
gain more distance from 128
gain more insights into 973
gain more leverage over 251
gain much attention from 146
gain nothing directly from 58
gain nothing whatever from 86
gain other benefits from 132
gain other insights into 135
gain prior approval from 63
gain some attention from 100
gain some autonomy from 197
gain some benefits from 583
gain some credence from 85
gain some distance from 2216
gain some guidance from 45
gain some immunity from 40
gain some insights from 447
gain some insights into 5849
gain some intuition into 51
gain some leverage over 469
gain some prestige from 109
gain some response from 43
gain their ambitious ends 83
gain their authority from 584
gain their destined goal 129
gain their economic ends 42
gain their identity from 296
gain their insights into 60
gain their personal ends 59
gain their validity from 113
gale blew directly upon 45
game like everyone else 215
game were destined soon 40
game will disappear much 40
gaping jaws severely grin 45
gate gave entrance into 64
gate some distance away 42
gave away enormous sums 58
gave five emeralds made 44
gave full authority over 43
gave into pressure from 51
gave many examples from 55
gave many insights into 73
gave more definite form 83
gave most valuable help 102
gave much attention during 53
gave much valuable help 91
gave much valuable time 77
gave only slightly more 138
gave some examples from 143
gave some extracts from 233
gave some financial help 73
gave some insights into 177
gave their approval only 42
gave their approval when 55
gave their attention only 46
gave their children away 76
gave their children good 65
gave their children into 48
gave their children life 130
gave their children more 398
gave their children over 87
gave their children such 78
gave their children their 83
gave their children very 53
gave their children were 40
gave their citizens time 54
gave their daughter away 118
gave their evidence like 54
gave their positions away 85
gave their presence away 48
gave their services free 2216
gave their valuable time 401
gave three distinct raps 83
gave three lectures during 59
gave your daughter away 43
gazing down sideways into 61
gears have straight teeth 108
gears having involute teeth 61
gels were obtained from 60
gels were prepared from 189
gene flow inferred from 84
gene have abnormal skin 71
gene have recently been 157
gene pair separate from 54
gene were injected into 65
gene were inserted into 68
gene were isolated from 73
gene were obtained from 65
germ cell chimeras among 53
germ cell contains only 256
germ cell develops into 137
germ cell receives only 98
germ tube develops into 99
gets even trickier when 49
gets less attention from 109
gets more attention from 409
gets most attention from 54
gets much attention from 70
gets only slightly more 106
