ideal lies somewhere between 89
ideas from cognitive science 125
ideas from different domains 65
ideas from different schools 60
ideas from different sources 581
ideas from disparate sources 55
ideas from dynamical systems 71
ideas from political economy 58
ideas from political science 83
ideas from surrounding objects 45
ideas string themselves becomes 57
ideas were extremely popular 49
ideas were important because 46
ideas will gradually subside 56
into acid insoluble material 244
into areas previously unknown 47
into crop production systems 53
into deep depression because 51
into deep political trouble 40
into early nineteenth century 43
into five different classes 623
into five different sections 276
into five industrial sections 49
into five principal classes 222
into five principal portions 41
into five principal sections 122
into five schedules according 71
into five subgroups according 86
into four different aspects 96
into four different classes 1111
into four different parties 43
into four different schools 40
into four different sections 392
into four different sectors 50
into four different species 51
into four different systems 74
into four different volumes 40
into four functional classes 75
into four functional sections 64
into four occupation sectors 129
into four political parties 68
into four principal classes 576
into four principal sections 360
into four quadrants according 56
into four subgroups according 204
into four subgroups depending 51
into high political circles 41
into icbm launchers subject 53
into idle debauched ruffians 52
into india commenced towards 48
into late nineteenth century 61
into less fallacious language 40
into less technical language 96
into many conflicting opinions 45
into many different aspects 265
into many different classes 204
into many different dialects 56
into many different factions 103
into many different formats 57
into many different markets 85
into many different objects 69
into many different parties 58
into many different product 52
into many different schools 97
into many different sections 141
into many different sectors 63
into many different species 240
into many different spheres 64
into many different systems 81
into many different tissues 49
into many different versions 91
into many important aspects 104
into many interesting details 67
into many political parties 99
into many technical details 43
into mass political parties 45
into mass political strikes 299
into more difficult material 70
into more difficult terrain 124
into more effective contact 101
into more effective relation 42
into more effectual measures 50
into more efficient systems 62
into more elaborate systems 45
into more extensive contact 81
into more favorable position 61
into more harmonious relation 111
into more important affairs 44
into more important matters 69
into more inclusive groupings 45
into more intensive contact 54
into more lucrative markets 49
into more manageable compass 49
into more manageable portions 224
into more manageable sections 232
into more manageable smaller 69
into more permanent storage 51
into more pernicious measures 48
into more precisely defined 86
into more sustained contact 43
into more technical aspects 42
into more technical details 74
into more technical language 86
into nine different classes 135
into nine different sections 59
into open hostility against 254
into open hostility between 78
into open hostility towards 95
into open opposition against 137
into open political warfare 65
into open revolution against 44
into other countries because 57
into other geographic markets 60
into other important aspects 66
into other industrial sectors 128
into other metabolic pathways 104
into other political parties 56
into play different muscles 69
into play precisely because 56
into some barbarous novelty 111
into some disrepute because 175
into some important aspects 94
into some inanimate article 45
into some interesting details 60
into some poisonous mineral 44
into some political trouble 62
into some programming language 50
into some reputable service 50
into some secondary schools 49
into some technical details 166
into some unpleasant service 55
into such commercial treaties 40
into such desperate measures 91
into such desperate straits 113
into such important secrets 51
into such inquiries becomes 50
into such rapturous praises 81
into such sanguinary measures 67
into such technical details 56
into such technical matters 40
into such unmerited trouble 56
into their ancestral history 83
into their attitudes towards 92
into their christmas stockings 46
into their cognitive systems 54
into their component factors 111
into their component features 155
into their component letters 142
into their component smaller 72
into their component species 47
into their component tissues 83
into their corporate culture 156
into their customary wistful 93
into their different classes 234
into their digestive systems 55
into their gratitude towards 136
into their innermost thoughts 115
into their missionary efforts 44
into their permanent location 73
into their permanent position 172
into their political affairs 40
into their political agendas 58
into their political beliefs 82
into their political culture 73
into their political economy 41
into their political opinions 57
into their political program 47
into their political schemes 54
into their political systems 151
into their primitive charter 81
into their production process 175
into their production systems 119
into their profession because 47
into their secondary schools 42
into their seventieth thousand 41
into their spiritual worship 62
into their strategic decision 50
into their theological systems 56
into these different aspects 48
into these districts because 44
into these impolitic measures 67
into these important matters 78
into these perplexed retreats 49
into these pestilent islands 41
into these technical details 65
into those cavernous abysses 47
into three arbitrary classes 44
into three component vectors 40
into three different aspects 130
into three different classes 1921
into three different degrees 69
into three different domains 81
into three different factions 74
into three different groupings 92
into three different parties 105
into three different pockets 45
into three different portions 133
into three different regimes 88
into three different schools 69
into three different sections 707
into three different sectors 112
into three different species 176
into three different spheres 60
into three different systems 81
into three different versions 47
into three extensive valleys 40
into three functional classes 186
into three functional domains 90
into three functional sections 63
into three functional systems 41
into three geographic sections 45
into three important classes 66
into three important sections 50
into three overlapping classes 50
into three overlapping sections 40
into three political factions 46
into three political parties 96
into three principal classes 1684
into three principal dialects 48
into three principal factions 74
into three principal parties 71
into three principal portions 186
into three principal schools 47
into three principal sections 836
into three principal systems 41
into three pyramidal summits 90
into three secondary bronchi 82
into three segmental bronchi 55
into three subgroups according 397
into three subgroups depending 60
into three varieties according 99
into very capricious hollows 62
into very different classes 47
into very different systems 100
into very difficult country 40
into very interesting details 72
into what absurdest element 42
into what political society 120
into your brokerage account 124
into your cigarette lighter 361
into your corporate culture 82
into your corporate network 82
into your forgotten boyhood 55
into your innermost thoughts 41
into your spiritual society 59
iron from different sources 158
iron from vegetable sources 166
