la huerta in his 57
la nature on est 44
lb weight in each 195
lb weight in fig 173
lb weight is hung 175
ll always be near 104
ll always be one 157
ll always be our 73
ll always be that 178
ll always be this 44
ll always be with 268
ll arrange it all 68
ll attend to him 92
ll attend to that 358
ll attend to this 68
ll attend to you 106
ll choose my own 41
ll depend on you 47
ll excuse me being 40
ll excuse me for 468
ll excuse me now 94
ll excuse my being 65
ll excuse my not 70
ll excuse the pun 87
ll expect to hear 84
ll expect to see 159
ll figure it all 49
ll figure it out 1930
ll finish the job 104
ll finish up with 75
ll follow the sun 88
ll follow up with 43
ll freeze to death 265
ll happen if you 93
ll happen to him 59
ll happen to you 165
ll listen to her 53
ll listen to him 101
ll listen to them 59
ll listen to you 622
ll manage it all 43
ll manage to get 273
ll notice as you 49
ll notice if you 44
ll notice in this 56
ll notice is that 292
ll pardon me for 187
ll pardon the pun 142
ll regret it for 81
ll regret the day 53
ll report to you 56
ll return to her 52
ll return to our 73
ll return to that 74
ll return to them 45
ll return to this 502
ll return to you 78
ll settle up with 42
ll starve to death 207
