sac may cause a 46
sad and cried a 77
sad for quite a 49
sad one which i 82
sad poem about a 40
sad song about a 196
sad that after a 48
sang for about a 67
sang for quite a 52
sang one about a 48
sat and beamed a 140
sat and drank a 334
sat and sewed a 45
sat and stood a 50
sat and woven a 67
sat and wrote a 219
sat for about a 307
sat for nearly a 296
sat for quite a 647
sat him under a 50
sat his horse a 125
sat not quite a 44
sat out under a 124
sat with quite a 48
saw and loved a 198
saw and split a 103
saw and which i 63
saw any since i 53
saw any water i 41
saw but thrice a 268
saw far below a 117
saw for getting a 90
saw god under a 63
saw her about a 356
saw her after a 143
saw her after i 212
saw her again a 439
saw her again i 304
saw her catch a 70
saw her change a 85
saw her dance a 54
saw her drink a 67
saw her driving a 48
saw her enter a 516
saw her father a 197
saw her fetch a 48
saw her first a 109
saw her first i 91
saw her flash a 63
saw her holding a 248
saw her house a 42
saw her kissing a 64
saw her light a 98
saw her place a 101
saw her pluck a 69
saw her press a 56
saw her putting a 41
saw her quite a 77
saw her raise a 158
saw her relax a 51
saw her shoot a 67
saw her since i 128
saw her smile a 87
saw her twice a 535
saw her under a 86
saw her until a 76
saw her until i 81
saw her walking a 46
saw her while i 76
saw her within a 76
saw her writing a 41
saw him about a 719
saw him after a 449
saw him after i 477
saw him again a 722
saw him again i 588
saw him board a 55
saw him build a 49
saw him carry a 144
saw him catch a 225
saw him chase a 53
saw him chasing a 98
saw him climb a 78
saw him crack a 75
saw him cross a 53
saw him digging a 42
saw him drawing a 65
saw him drink a 206
saw him drive a 83
saw him driving a 266
saw him enter a 1011
saw him fight a 83
saw him first a 72
saw him first i 68
saw him flash a 57
saw him flick a 70
saw him getting a 69
saw him helping a 40
saw him holding a 450
saw him kissing a 67
saw him knock a 83
saw him light a 198
saw him maybe a 44
saw him mount a 121
saw him nearly a 48
saw him opening a 76
saw him order a 49
saw him pause a 42
saw him pitch a 67
saw him place a 209
saw him playing a 115
saw him pluck a 41
saw him plunge a 49
saw him press a 95
saw him pulling a 60
saw him pushing a 64
saw him putting a 92
saw him quite a 226
saw him raise a 353
saw him relax a 47
saw him seize a 73
saw him sharing a 40
saw him shoot a 305
saw him smile a 161
saw him smoke a 40
saw him smoking a 136
saw him stand a 63
saw him start a 113
saw him stick a 44
saw him throwing a 45
saw him today i 78
saw him touch a 182
saw him twice a 707
saw him under a 208
saw him until a 42
saw him until i 185
saw him while i 222
saw him within a 161
saw him write a 186
saw him writing a 79
saw his father a 66
saw his mother a 110
saw his notes i 50
saw how badly i 164
saw how close i 84
saw how easily a 242
saw how easily i 202
saw how happy i 179
saw how large a 144
saw how lucky i 49
saw how moved i 86
saw how noble a 44
saw how often i 51
saw how right i 131
saw how short a 53
saw how silly i 42
saw how small a 155
saw how small i 92
saw how sorry i 72
saw how strong a 140
saw how tired i 96
saw how upset i 915
saw how weakly i 48
saw how white a 48
saw long after i 41
saw lying beneath a 42
saw one about a 65
saw one catch a 110
saw one evening a 89
saw one morning a 128
saw one night a 176
saw one until i 77
saw one which i 43
saw one within a 57
saw that about a 119
saw that after a 314
saw that creating a 41
saw that house i 40
saw that nearly a 46
saw that night a 46
saw that night i 46
saw that quite a 314
saw that though a 47
saw that though i 151
saw that under a 117
saw that where a 60
saw that which i 267
saw that while a 132
saw that while i 267
saw that within a 151
saw them about a 167
saw them after a 132
saw them after i 109
saw them again a 72
saw them again i 116
saw them build a 42
saw them catch a 75
saw them cross a 55
saw them enter a 355
saw them hoist a 44
saw them playing a 57
saw them putting a 52
saw them quite a 42
saw them shoot a 71
saw them twice a 66
saw them under a 265
saw them until i 58
saw them while i 71
saw them within a 70
saw things looking a 59
saw things which i 149
saw this evening a 53
saw this house i 50
saw this morning a 302
saw this place i 73
saw this scene i 47
saw two people i 42
saw was about a 181
saw was either a 206
saw was quite a 107
saw was rather a 107
saw was really a 425
saw was still a 41
saw with alarm a 123
saw you about a 88
saw you after i 50
saw you again i 366
saw you below a 56
saw you fight a 45
saw you first i 207
saw you holding a 55
saw you place a 40
saw you shoot a 41
saw you smoking a 47
saw you today i 80
saw you under a 43
saw you while i 61
say and after a 254
say and where i 67
say and which i 81
say and write a 152
say for about a 110
say for nearly a 145
say for quite a 259
say how could i 91
say how dearly i 49
say how fully i 182
say how happy a 68
say how happy i 2174
say how large a 1831
say how lucky i 206
say how moved i 67
say how often a 124
say how often i 590
say how proud i 868
say how short a 49
say how small a 192
say how sorry i 5202
say how strong a 47
say how tired i 46
say how truly i 160
say how upset i 44
say how vexed i 52
say long after i 124
say not quite a 92
say she found a 72
say she hoped i 75
say she knows a 62
say she knows i 72
say she looks a 58
say she makes a 146
say she needs a 144
say she takes a 53
say she thinks i 54
say she wants a 153
say she wrote a 52
say ten cents a 60
say ten hours a 175
say ten times a 54
say that about a 2304
say that after a 4659
say that after i 642
say that again i 1312
say that agent i 60
say that anything a 112
say that anything i 417
say that below a 94
say that brand x 68
say that breaking a 57
say that calling a 50
say that changing a 60
say that could i 46
say that creating a 177
say that drawing a 44
say that driving a 64
say that either a 354
say that either i 149
say that event a 416
say that finding a 182
say that first i 50
say that getting a 219
say that given a 497
say that group a 150
say that hitting a 42
say that holding a 88
say that joining a 41
say that keeping a 110
say that killing a 98
say that knowing a 68
say that later i 51
say that learning a 89
say that makes a 224
say that maybe a 68
say that maybe i 295
say that nearly a 176
say that never a 499
say that often a 200
say that often i 45
say that placing a 56
say that playing a 40
say that point a 193
say that point b 58
say that putting a 104
say that quite a 1428
say that raising a 99
say that really i 98
say that robbing a 85
say that running a 100
say that sending a 46
say that setting a 50
say that since a 478
say that since i 2007
say that state a 134
say that still a 62
say that teaching a 46
say that telling a 64
say that though a 432
say that though i 1575
say that today a 159
say that today i 377
say that under a 612
say that until a 338
say that until i 451
say that where a 1409
say that where i 234
say that which a 74
say that which i 1248
say that while a 1248
say that while i 3346
say that winning a 53
say that within a 2115
say that writing a 252
say they built a 48
say they carry a 50
say they enjoy a 59
say they favor a 94
