tea bag 165 tea bar
52 tea bath 245 tea
bed 187 tea big 180
tea bit 2397 tea box
156 tea bun 1730 tea
can 87 tea cup 358
tea dry 145 tea fag
119 tea few 1861 tea
ham 192 tea hot 1001
tea jam 90 tea jar
57 tea jug 52 tea
keg 60 tea long 266
tea lot 163 tea meal
232 tea meat 93 tea
mug 61 tea nap 70
tea new 116 tea pot
155 tea seat 55 tea
sit 103 tea thin 121
tea tin 198 tea wad
44 tea ate 47 tea
can 87 tea did 78
tea got 62 tea had
292 tea sat 80 tea
saw 48 tea was 434
tea did 60 tea was
62 tea few 445 tea
long 324 tea man 99
tea year 50 tea long
82 tea dear 40 tea
had 226 tea was 128
tea real 52 tea tax
41 tea big 62 tea
bit 204 tea dear 137
tea few 378 tea long
66 tea lot 251 tea
man 412 tea meal 78
tea new 61 tea thin
42 the bit 73 the
dead 114 the few 247
the law 110 the man
154 the new 281 the
real 52 the row 129
the sin 41 the sum
50 the year 50 the
and 56 the aria 61
the can 75 the did
58 the had 410 the
put 48 the saw 40
the trio 181 the was
414 the new 2406 the
web 374 the see 47
the man 119 the new
87 the had 512 the
now 95 the then 281
the was 2253 the and
41 the and 77 the
sex 71 the can 514
the had 269 the had
265 the set 72 the
was 42 the big 47
the bit 2917 the day
72 the few 5663 the
gas 58 the jet 42
the long 820 the lot
403 the man 411 the
new 226 the red 53
the song 41 the thin
149 the year 317 the
can 447 the did 174
the fly 56 the got
76 the had 731 the
hear 73 the saw 498
the see 122 the was
1212 the and 179 the
but 45 the had 72
the one 61 the and
60 the are 210 the
few 219 the lot 54
the man 58 the new
110 the can 141 the
did 86 the had 137
the saw 58 the was
356 the are 61 the
man 51 the and 70
the and 53 the and
1328 the are 129 the
bad 108 the being 46
the bit 780 the can
178 the day 231 the
few 2135 the for 113
the has 69 the long
388 the lot 142 the
man 313 the may 65
the new 300 the per
121 the real 45 the
that 208 the was 47
the with 293 the year
622 the and 50 the
can 105 the did 76
the had 1077 the now
55 the saw 121 the
was 1359 the and 54
the and 181 the set
89 the and 242 the
bit 110 the boy 75
the few 233 the man
58 the and 64 the
and 67 the and 47
the had 287 the led
83 the now 323 the
put 61 the was 192
the few 52 the new
182 the can 237 the
had 410 the now 109
the saw 65 the was
274 the few 43 the
few 59 the lot 41
the was 134 the had
148 the was 48 the
had 41 the bit 110
the few 442 the had
631 the put 59 the
saw 96 the was 592
the few 57 the and
89 the big 56 the
bit 304 the few 1439
the long 118 the lot
125 the man 713 the
year 383 the and 74
the can 129 the did
61 the got 82 the
had 493 the met 104
the saw 369 the see
83 the was 773 the
and 985 the for 122
the had 57 the owl
267 the that 110 the
was 210 the with 166
the and 79 the bar
159 the few 121 the
few 216 the long 66
the had 162 the was
156 the can 56 the
had 57 the was 97
the bit 60 the few
739 the long 133 the
had 212 the saw 200
the see 66 the was
130 the few 101 the
had 59 the was 94
the and 96 the bit
46 the few 81 the
and 50 the saw 42
the few 98 the long
50 the had 214 the
was 80 the and 96
the bit 95 the had
40 the was 54 the
big 76 the bit 303
the few 1096 the heap
55 the long 296 the
lot 117 the man 188
the red 40 the thin
49 the can 158 the
did 102 the got 78
the had 1211 the lay
303 the lie 220 the
now 47 the put 93
the ran 84 the sat
54 the saw 591 the
see 73 the was 1186
the man 296 the had
812 the now 87 the
saw 45 the was 366
the had 57 the had
110 the was 44 the
and 128 the and 103
the was 216 the and
50 the was 56 the
and 43 the can 116
the did 72 the had
141 the saw 53 the
was 191 the had 52
the bit 102 the few
140 the man 53 the
had 88 the saw 59
the was 53 the and
73 the big 49 the
bit 121 the few 650
the long 109 the lot
57 the man 112 the
new 44 the red 47
the toy 41 the and
43 the can 42 the
did 40 the got 55
the had 951 the put
75 the sat 108 the
saw 222 the was 923
the bad 110 the bath
66 the bed 55 the
big 161 the bit 1226
the bow 75 the box
190 the cup 130 the
dog 66 the few 1182
the gun 74 the hat
40 the hug 226 the
job 567 the leaf 50
the liar 64 the long
464 the lot 262 the
man 786 the new 475
the nod 45 the pat
157 the rap 61 the
real 136 the seat 41
the set 197 the ten
170 the tip 150 the
toy 77 the year 132
the can 117 the did
91 the got 84 the
had 2719 the mean 164
the met 274 the put
181 the saw 509 the
see 121 the was 3006
