wad of sterile gauze 55
wad of tobacco bulging 46
wad of tobacco juice 426
war as germany might 40
war by borrowing money 52
war by flaunting gauls 55
war by several months 186
war by taxation rather 51
war he becomes ruler 51
war he resumed farming 119
war he resumed teaching 53
war in america broke 77
war in america could 144
war in america ended 54
war in america might 158
war in america which 134
war in america would 359
war in ancient china 51
war in ancient israel 152
war in ancient times 442
war in british hands 145
war in british ports 148
war in central italy 49
war in certain cases 152
war in certain parts 45
war in distant lands 154
war in distant parts 56
war in european russia 57
war in extreme cases 44
war in foreign lands 210
war in foreign parts 244
war in foreign ports 255
war in general rather 57
war in general terms 208
war in general would 103
war in germany after 41
war in germany broke 102
war in germany could 62
war in germany ended 68
war in germany grows 50
war in germany might 46
war in germany still 68
war in germany under 47
war in germany until 64
war in germany which 84
war in germany would 241
war in hampton roads 55
war in harsher terms 441
war in history could 83
war in history ended 52
war in history where 118
war in history which 128
war in history would 75
war in ireland which 78
war in ireland within 44
war in ireland would 148
war in lebanon began 66
war in lebanon broke 67
war in lebanon could 52
war in lebanon which 66
war in lebanon would 99
war in neutral ports 125
war in northern china 109
war in northern italy 694
war in northern spain 47
war in several parts 68
war in similar terms 73
war in southern angola 77
war in southern italy 272
war in southern sudan 2124
war in vietnam added 67
war in vietnam after 267
war in vietnam began 612
war in vietnam broke 54
war in vietnam comes 55
war in vietnam could 701
war in vietnam drove 47
war in vietnam ended 633
war in vietnam found 50
war in vietnam heated 83
war in vietnam makes 52
war in vietnam might 308
war in vietnam never 40
war in vietnam raged 155
war in vietnam rather 72
war in vietnam seems 84
war in vietnam shows 46
war in vietnam since 99
war in vietnam spread 51
war in vietnam still 170
war in vietnam today 130
war in vietnam under 109
war in vietnam until 132
war in vietnam where 117
war in vietnam which 727
war in vietnam while 322
war in vietnam winding 43
war in vietnam within 40
war in vietnam would 1741
war in vietnam wound 81
war in virginia would 41
war is brought about 364
war is finally ended 81
war is glorious after 60
war is happily ended 50
war is largely about 49
war is largely based 47
war is largely theirs 48
war is usually about 122
war is usually dated 51
war is usually waged 40
war of ancient times 47
war of classes which 135
war of classes would 41
war of critics which 52
war of defense which 44
war of factions within 66
war of freight rates 42
war of invasion which 45
war of national unity 66
war of opinions which 93
war of position rather 67
war of position which 139
war of position within 50
war of position would 46
war of providing plant 87
war of railway rates 48
war of religion broke 98
war of religion which 214
war of religion would 49
war of several months 64
war of several weeks 51
war of superior force 120
war of tariffs began 47
war of tariffs which 60
war of vengeance which 56
war on british trade 67
war on colonial trade 44
war on germany after 497
war on germany april 97
war on germany until 357
war on germany which 51
war on germany while 70
war on germany within 75
war on germany would 113
war on himself saved 61
war on illegal drugs 259
war on illicit drugs 102
war on neutral ships 63
war on poverty began 234
war on poverty could 117
war on poverty might 92
war on poverty which 203
war on poverty while 49
war on poverty would 287
war on ruinous terms 57
war on similar lines 41
war or brought about 82
war or matters arising 48
war or national danger 43
war or revived under 56
war or shortly after 143
war or vessels sailing 87
war the average daily 44
war the average price 66
war the british could 63
war the british fleet 234
war the british found 116
war the british nation 44
war the british people 207
war the british would 169
war the chinese people 97
war the country could 80
war the country might 61
war the country would 172
war the following april 44
war the foreign trade 55
war the general staff 137
war the germans began 86
war the germans could 69
war the germans found 43
war the germans never 68
war the germans tried 43
war the germans would 201
war the highest glory 64
war the liberal party 90
war the national guard 144
war the natural state 64
war the penalty which 41
war the problem arose 44
war the question arose 95
war the russians could 49
war the russians would 148
war the southern people 88
war the soviets would 134
war the stronger party 123
war the supreme court 203
war to conquer china 40
war to destroy israel 156
war to foreign ports 183
war to gratify george 46
war to prevent japan 54
war to prevent louis 92
war to prevent russia 77
war to protect small 66
war to restore order 59
was an abandon about 40
was an ability which 61
was an aborted fetus 116
was an abscess about 41
was an abscess which 81
was an absorbing hobby 48
was an absorbing story 109
was an absorbing study 99
was an absorbing topic 157
was an abusive drunk 220
was an abusive father 68
was an abusive mother 44
was an academy award 1090
was an academy where 45
was an account given 271
was an account still 55
was an account which 179
was an accrual basis 112
was an actress after 71
was an actress first 87
was an actress named 170
was an actress playing 121
was an actress under 47
was an actress whose 189
was an addition built 66
was an addition which 150
was an address given 484
was an address where 53
was an address which 381
was an admiral every 58
was an adopted child 4556
was an adopted mother 53
was an advance agent 214
was an advance force 40
was an advance guard 736
was an advance party 260
was an advance scout 72
was an advance under 72
was an advance warning 288
was an advance which 161
was an adverse claim 51
was an adverse party 122
was an adverse trade 71
was an aesthetic rather 76
was an aesthetic value 46
was an aesthetic which 56
was an affecting appeal 41
was an affecting meeting 281
was an affecting parting 45
was an affecting scene 989
was an affecting season 41
was an affecting sight 2277
was an affecting story 44
was an affront which 399
was an african black 40
was an african chief 114
was an african dance 58
was an african kingdom 57
was an african leader 57
was an african named 110
was an african negro 200
was an african queen 43
was an african slave 499
was an african state 89
was an african woman 302
was an agonizing delay 56
was an agonizing ordeal 137
was an agonizing pause 187
was an agonizing period 194
was an agrarian nation 144
was an agrarian state 102
was an airline pilot 771
was an airmail pilot 46
was an alleged breach 165
was an alliance based 84
was an alliance which 572
was an allusion which 108
was an alluvial plain 388
was an alsatian named 51
was an altered place 137
was an altered state 134
was an altered woman 172
was an altered world 55
was an amateur actor 513
was an amateur boxer 1103
was an amateur group 75
was an amateur pilot 117
was an amateur rather 51
was an amateur sport 97
was an amateur whose 56
was an amazingly large 65
was an amazingly quick 72
was an amazingly rapid 79
was an amazingly short 49
was an amazingly small 69
was an amazingly strong 79
was an ambition rather 46
was an ambition which 432
was an ambition worthy 87
was an america where 62
was an america which 60
was an amorous woman 57
was an analogy which 57
was an ancient abbey 129
was an ancient altar 169
was an ancient aryan 55
was an ancient black 161
was an ancient brass 99
was an ancient brick 90
was an ancient burial 287
was an ancient burying 117
was an ancient canon 49
was an ancient chief 46
was an ancient child 103
was an ancient comet 50
was an ancient count 78
was an ancient court 118
was an ancient craft 172
was an ancient crone 136
was an ancient cross 174
was an ancient dance 72
was an ancient deity 112
was an ancient enemy 207
was an ancient gaelic 86
was an ancient gothic 43
was an ancient greek 3912
was an ancient green 50
was an ancient guild 42
was an ancient habit 60
was an ancient heathen 41
was an ancient hindu 437
was an ancient horse 40
was an ancient house 551
was an ancient human 98
was an ancient hunting 57
was an ancient image 76
was an ancient indian 1311
was an ancient irish 205
was an ancient kingdom 533
was an ancient latin 379
was an ancient leather 48
was an ancient legal 97
was an ancient local 73
was an ancient looking 51
was an ancient manor 246
was an ancient maxim 155
was an ancient method 248
was an ancient model 95
was an ancient mound 59
was an ancient nation 195
was an ancient notion 69
was an ancient order 73
was an ancient pagan 326
was an ancient people 70
was an ancient piece 191
was an ancient place 510
was an ancient porch 74
was an ancient queen 44
was an ancient region 123
was an ancient relic 232
was an ancient right 468
was an ancient river 239
was an ancient roman 2898
was an ancient route 102
was an ancient royal 166
was an ancient saxon 142
was an ancient skill 57
was an ancient sport 49
was an ancient state 166
was an ancient stone 449
was an ancient story 561
was an ancient style 42
was an ancient sword 183
was an ancient table 41
was an ancient title 211
was an ancient tower 109
was an ancient track 40
was an ancient trade 285
was an ancient trading 208
was an ancient trail 48
was an ancient tribe 54
was an ancient trick 45
was an ancient usage 471
was an ancient water 107
was an ancient weapon 146
was an ancient white 80
was an ancient woman 255
was an ancient world 63
was an aneroid glass 86
was an anglican vicar 83
was an animating force 87
was an animating scene 92
was an animating sight 107
was an anointing within 40
was an anomaly since 41
was an anomaly which 617
was an anomaly within 159
was an answering burst 45
was an answering croak 69
was an answering flash 106
was an answering light 91
was an answering shout 741
was an answering smile 89
was an answering sound 42
was an answering voice 53
was an antique brass 100
was an antique chest 47
was an antique clock 155
was an antique dealer 581
was an antique piece 44
was an antique store 203
was an antique table 77
was an anxiety about 336
was an anxiety state 40
was an anxiety which 129
was an apology which 47
was an appalling breach 69
was an appalling change 48
was an appalling crash 115
was an appalling crime 73
was an appalling danger 41
was an appalling error 41
was an appalling night 62
was an appalling noise 42
was an appalling piece 41
was an appalling place 97
was an appalling scene 207
was an appalling shock 120
was an appalling sight 869
was an appalling sound 48
was an appalling state 85
was an appalling storm 41
was an appalling story 91
was an appalling waste 120
was an approving smile 45
was an aquatic corps 50
was an aquatic plant 81
was an archway opening 80
was an archway which 70
was an arduous chore 65
was an arduous climb 133
was an arduous labor 55
was an arduous march 67
was an arduous place 48
was an armenian named 162
was an armenian woman 54
was an armored truck 54
was an arranged match 241
was an arranged meeting 87
was an arresting image 46
was an arresting sight 507
was an arrival which 48
was an article about 4413
was an article headed 331
was an article stating 83
was an article telling 51
was an article under 45
was an article which 1685
was an article whose 57
was an ascending scale 227
was an ascetic named 96
was an ascetic whose 40
was an assault rifle 78
was an assault which 49
was an assenting party 212
was an athletic coach 70
was an athletic event 80
was an athletic field 97
was an athletic looking 53
was an athletic woman 79
was an attempt after 63
was an attempt either 85
was an attempt under 86
was an attempt which 546
was an attempt within 70
was an audible click 923
was an audible crack 178
was an audible groan 563
was an audible sound 183
was an audible voice 103
was an austere beauty 43
was an austere looking 42
was an austere place 135
was an austere woman 175
was an austrian agent 62
was an austrian baron 53
was an austrian count 96
was an austrian field 49
was an austrian named 150
was an austrian rather 40
was an austrian woman 65
was an avarice which 149
was an average change 50
was an average child 93
was an average daily 923
was an average delay 114
was an average error 71
was an average growth 94
was an average looking 383
was an average night 49
was an average period 45
was an average price 215
was an average pupil 198
was an average score 68
was an average sized 266
was an average speed 175
was an average total 64
was an average value 243
was an average woman 91
was an average yearly 206
was an average yield 164
was an avoided house 101
was an awakening which 90
was an awesome crime 47
was an awesome event 116
was an awesome feeling 300
was an awesome force 90
was an awesome piece 69
was an awesome place 264
was an awesome power 114
was an awesome scene 86
was an awesome sight 3069
was an awesome sound 143
was an awesome weapon 110
was an awesome woman 49
was an awfully close 100
was an awfully funny 81
was an awfully grand 76
was an awfully jolly 149
was an awfully large 66
was an awfully queer 46
was an awfully small 64
was an awfully sweet 78
was an awkward child 89
was an awkward climb 46
was an awkward delay 42
was an awkward evening 41
was an awkward feeling 131
was an awkward hitch 43
was an awkward issue 51
was an awkward looking 48
was an awkward lover 44
was an awkward meeting 323
was an awkward method 40
was an awkward pause 9167
was an awkward period 324
was an awkward piece 68
was an awkward place 504
was an awkward point 72
was an awkward scene 165
was an awkward shape 98
was an awkward state 56
was an awkward topic 51
was an awkward visit 52
was an awkward weapon 58
was an easiness about 94
was an easterly storm 42
was an economy based 240
was an economy drive 63
was an economy where 53
was an economy which 206
