fable who had lost his 50
faced and his lips set 58
faced him and told him 57
faced man had said that 48
faced them and told them 42
faced was that there was 105
faced with row upon row 45
faces and our heads may 53
faces and then took out 45
faces and they were all 56
faces and you will see 44
faces are all gone and 44
faces earth and hell and 51
faces fear and hate and 47
faces that are living now 66
faces that they were not 582
faces was too much for 97
facts and act upon them 110
facts and new ideas thus 58
facts and see what they 68
facts and that there are 60
facts and that there was 45
facts and you will get 60
facts and you will see 41
facts are and what they 76
facts are far from being 106
facts are not clear and 88
facts are not what they 123
facts are set forth and 66
facts are set forth with 116
facts are that there are 339
facts are that there has 53
facts are that there was 153
facts are that very few 44
facts are too much for 45
facts but not have them 52
facts can not speak for 87
facts did not call for 58
facts did not come out 170
facts did not show any 60
facts did not show that 328
facts did not speak for 95
facts does not make them 56
facts does not show that 105
facts than any other man 59
facts than any other that 85
facts that are dealt with 49
facts that are true and 78
facts that are true for 90
facts that bear upon them 91
facts that bear upon this 106
facts that can help you 149
facts that had come out 170
facts that had their due 45
facts that may help you 79
facts that not less than 46
facts that not only did 52
facts that not only was 44
facts that they have not 86
facts that they were not 98
facts that you know are 43
facts that you think are 94
facts that you will not 52
facts with each other and 113
faded age has made them 71
faded did you call him 94
faint and far away and 86
faint and far away that 247
fairy did not slap tom 45
fairy had now cast off 67
fairy who had only one 70
falling for two days and 48
falling near its core with 43
falling off his bike and 61
falling out with what has 60
falling with each breath she 64
falling with each rise and 45
falls had cut their way 52
falls off his back with 282
falls off his bike and 70
falls that this winged man 136
false and that there are 88
false and that there was 119
false and they gain few 188
false does not show that 139
false man put down and 45
famed far and wide for 1777
famed for his wealth and 107
famed for his work with 91
famed for its gold and 133
famed for its wealth and 127
famed for its wine and 44
fancy for him gave way 153
fancy she was only his 69
fancy that few young men 103
fancy that his heart was 98
fancy that his wife had 113
fancy that they have ears 71
fancy that they have got 105
fancy that they have not 151
fancy that they knew they 75
fancy that they know all 49
fancy that they were going 332
fancy that they were not 257
fancy that they were teal 47
fancy that they will get 84
fancy that they will not 49
fancy that they will set 56
fancy that this great man 104
fancy that was what was 48
fancy that you have all 133
fancy that you have met 45
fancy that you have not 145
fancy that you know all 46
fancy that you know them 53
fancy that you will not 193
fancy they had less law 219
fanning her hot face with 80
farming all his life and 158
farming his own land and 81
farms did not have any 41
farms that are less than 91
fasting for two days and 109
fatal than his fears led 55
father all her life and 41
father all his life and 52
father and all other men 80
father and all those who 132
father and for other men 42
father and had told him 49
father and her aunt and 72
father and her aunt had 59
father and her love for 519
father and his aunt and 40
father and his love for 297
father and his name was 40
father and his only son 154
father and his sons and 393
father and his sons are 153
father and his sons had 48
father and his sons may 91
father and his sons who 55
father and his wife and 883
father and his wife are 289
father and his wife for 53
father and his wife had 217
father and his wife his 47
father and his wife was 89
father and his wife who 53
father and his young son 1125
father and how much she 97
father and men like him 93
father and not know him 57
father and one from her 95
father and one from his 121
father and one from its 54
father and run away with 43
father and say unto him 57
father and she knew that 42
father and she told him 41
father and son during this 54
father and son face each 101
father and son felt that 99
father and son have both 86
father and son have had 58
father and son have not 70
father and son knew that 119
father and son left for 84
father and son love each 84
father and son there was 319
father and son went off 57
father and son went out 278
father and son were being 45
father and son were both 1544
father and son were dead 93
father and son were going 51
father and son were men 95
father and son were not 1173
father and son were now 317
father and son were one 115
father and son were out 72
father and son were then 71
father and son were thus 100
father and son were too 57
father and son when they 259
father and that there was 59
father and then from his 42
father and they were both 42
father and they were not 43
father and they will not 41
father and two other men 536
father and two sons and 58
father and two sons are 76
father and two sons had 73
father and two sons who 142
father and was living with 47
father and was told that 72
father and you three with 45
father and you will not 72
father but not even his 58
father can not care for 40
father can not cope with 43
father can not give her 90
father can not give him 67
father can not give his 105
father can not give them 47
father can not give you 52
father can not have long 48
father can not help but 80
father can not help him 77
father can not help you 77
father can not hope for 83
father can not keep his 46
father can not save his 56
father can not save you 50
father can not stay any 54
father can not tell his 55
father did but jest with 87
father did his best for 45
father did not care for 718
father did not care how 44
father did not care that 44
father did not come for 65
father did not come out 180
father did not come with 66
father did not even say 47
father did not even see 70
father did not even try 54
father did not feel that 245
father did not find her 44
father did not find out 115
father did not give any 42
father did not give her 241
father did not give him 428
father did not give his 77
father did not give them 60
father did not give you 132
father did not have any 835
father did not have his 130
father did not have long 45
father did not have one 153
father did not have that 209
father did not have this 57
father did not have too 49
father did not help him 66
father did not hide his 57
father did not hold with 63
father did not keep his 93
father did not kill her 60
father did not kill him 62
father did not know all 56
father did not know and 82
father did not know any 89
father did not know her 91
father did not know him 226
father did not know his 138
father did not know how 1013
father did not know she 126
father did not know that 1872
father did not know this 92
father did not know was 125
father did not know who 107
father did not know why 64
father did not know you 81
father did not leave any 60
father did not leave her 68
father did not leave him 105
father did not leave his 85
father did not leave you 74
father did not like being 84
father did not like her 353
father did not like him 626
father did not like his 263
father did not like that 690
father did not like them 140
father did not like this 286
father did not like you 55
father did not live long 1002
father did not live with 353
father did not lose his 109
father did not love her 444
father did not love him 434
father did not love his 94
father did not love them 54
father did not love you 115
father did not make any 156
father did not make her 64
father did not make him 103
father did not make his 86
father did not mind her 42
father did not mind that 123
father did not need any 41
father did not need her 130
father did not need him 81
father did not need his 49
father did not seem too 63
father did not send for 48
father did not send her 47
father did not send him 161
father did not send you 90
father did not show any 98
father did not speak for 100
father did not stay long 56
father did not stop him 53
father did not take any 106
father did not take her 90
father did not take him 137
father did not take his 154
father did not take this 54
father did not teach him 112
father did not teach you 56
father did not tell her 103
father did not tell him 219
father did not tell his 68
father did not tell you 356
father did not think him 48
father did not think his 40
father did not think she 84
father did not think that 536
father did not think this 78
father did not treat her 51
father did not treat him 47
father did not turn his 46
father did not wait for 284
father did not want any 194
father did not want her 1304
father did not want him 1623
father did not want his 517
father did not want that 151
father did not want them 250
father did not want you 334
father did not wish for 147
father did not wish her 119
father did not wish him 259
father did not wish his 78
father did not wish that 41
father did not wish them 79
father did not wish you 43
father did not work for 119
father does not care for 327
father does not feel that 53
father does not find out 181
father does not give her 98
father does not give him 155
father does not give his 146
father does not give you 69
father does not hate you 68
father does not have any 253
father does not have that 105
father does not have this 52
father does not hold with 41
father does not know any 42
father does not know him 55
father does not know his 121
father does not know how 488
father does not know that 936
father does not know this 67
father does not know who 54
father does not know yet 91
father does not know you 160
father does not leave his 40
father does not like her 107
father does not like him 191
father does not like his 100
father does not like that 173
father does not like them 92
father does not like this 68
father does not like you 208
father does not live with 336
father does not lose his 61
father does not love her 142
father does not love him 208
father does not love his 102
father does not love this 74
father does not love you 240
father does not make him 45
father does not make his 48
father does not need any 45
father does not take any 43
father does not teach you 50
father does not think that 150
father does not think you 170
father does not wait for 46
father does not want any 79
father does not want her 267
father does not want him 305
father does not want his 189
father does not want that 44
father does not want them 51
father does not want you 519
father does not wish his 57
father does not wish you 101
father does not work for 56
father for her hand and 72
father for his only son 95
father for his wife and 128
father for not giving him 40
father for not laying any 65
father for ten years and 43
father for two years and 83
father had any name than 45
father had had made for 113
father had had some job 116
father had his heart set 56
father had long been dead 312
father had not been dead 96
father had not been long 56
father had not been one 117
father had not been out 44
father had not been too 114
father had not been with 72
father had not come for 87
father had not come out 46
father had not come with 44
father had not died and 67
father had not done that 46
father had not even now 52
father had not gone out 108
father had not heard her 46
father had not heard him 88
father had not kept his 106
father had not left her 77
father had not left him 246
father had not left his 63
father had not lost his 113
father had not made any 49
father had not made him 63
father had not made his 156
father had not said that 42
father had not seen each 51
father had not seen fit 67
father had not seen for 54
father had not seen her 111
father had not seen him 185
father had not seen his 83
father had not seen them 63
father had not sent him 113
father had not sold them 66
father had not told her 250
father had not told him 320
father had now been dead 78
father had now made his 60
father had put down his 52
father had put into his 119
father had put upon them 46
father had run away and 44
father had run away with 69
father had two sons and 82
father has his heart set 60
father has long been dead 74
father has not been dead 113
father has not been too 61
father has not seen her 59
father has not seen you 53
father has not told him 52
father has not told you 149
father has now told you 64
father hath not left his 62
father jew had made off 41
father let her have her 81
father let him have his 44
father lit his pipe and 85
father may not have had 60
father may not wish for 57
father nor any other man 60
father sat her down and 44
father sat him down and 65
father saw him afar off 226
father saw him coming and 92
father saw that there was 72
father saw this same man 41
father say that there was 284
father set out upon his 46
father she had been deaf 111
father than any other man 45
father that his only son 44
father that his wife had 56
father that his wife was 58
father that she will not 87
father that they were going 94
father that they were not 94
father that you were not 44
father that you will not 65
father then had told him 51
father was far away and 43
father was far from being 240
father was for more than 58
father was going away for 41
father was his only son 62
father was not among them 343
father was not angry with 99
father was not back yet 55
father was not good and 52
father was not home and 104
father was not home yet 161
father was not like that 548
father was not living with 138
father was not more than 110
father was not much for 61
father was not much out 275
father was not only one 86
father was not rich and 44
father was not sure how 40
father was not sure that 50
father was not there and 190
father was not there any 40
father was not there for 206
father was not well and 168
father was not well off 105
father was not what you 85
father was set upon her 71
father was six years old 90
father was ten years old 136
father was then worn out 306
father was too busy and 56
father was too busy for 42
father was too busy with 179
father was too much for 83
father was too young and 48
father was two years old 76
father who had been both 44
father who had been dead 162
father who had been her 64
father who had been his 63
father who had been ill 40
father who had been one 79
father who had died and 49
father who had died two 72
father who had gone out 178
father who had left her 91
father who had left him 102
father who had left his 150
father who had left them 56
father who had lost his 531
father who had made her 75
father who had made him 76
father who had made his 80
father who had sent her 48
father who had sent him 96
father who had sent his 52
father who had told her 47
father who had told him 117
father who has been dead 85
father who has left his 42
father who has lost all 41
father who has lost his 777
father who has made his 42
father who has seen his 54
father who has sold his 114
father who was also his 51
father who was angry with 44
father who was living with 51
father who was more than 52
father who was very ill 98
father with his sons and 99
father with his wife and 178
father with his young son 41
father with one hand and 40
fault and not mine that 50
fault and that there was 81
fault and with great joy 473
fault both with gods and 58
fault can you find with 256
fault did not rest with 243
fault does not rest with 445
fault for not giving him 46
fault for not giving you 52
fault for this lies with 106
fault had all been his 53
fault had not been his 84
fault had not been with 50
fault has not been all 45
fault has not been with 139
fault has not lain with 47
fault lay not only with 72
fault lay with those who 274
fault may not rest with 51
fault one can find with 130
fault one may find with 69
fault that his face was 40
fault that they have not 261
fault that they were all 99
fault that they were not 524
fault that you have not 388
fault that you were not 227
fault that you will not 49
fault was all your own 46
fault was not mine that 75
fault was not their own 58
fault was that there was 137
fault with any step she 59
fault with each other and 77
fault with her even for 56
