fabulous seed are midsummer eve 42
families caring for relatives with 88
families were not satisfied with 59
financial data are available for 81
finished what was necessary for 42
flattery from his courtiers than 49
flowered over and bedizened with 111
followed from his assumption that 42
followed from his conviction that 140
followed from this assumption that 122
followed from this principle that 171
followed their own instincts and 73
followed their own interests and 86
followed their own principle with 75
followed your own judgments and 102
formerly been his secretary for 68
friendly hand that staunched his 52
friendly hand was stretched out 60
