hack and hew into some 45
hail was being heard from 64
hair and big blue eyes 3145
hair and big dark eyes 307
hair and big gray eyes 109
hair and her blue eyes 308
hair and her dark eyes 129
hair and her eyes were 412
hair and her face were 42
hair and her lips were 56
hair and her pale face 48
hair and her pale skin 70
hair and her worn face 101
hair and his beard grow 70
hair and his beard were 422
hair and his blue eyes 375
hair and his dark eyes 89
hair and his eyes were 428
hair and his great beard 63
hair and his pale face 42
hair and his teeth were 42
hair and ice blue eyes 99
hair and icy blue eyes 105
hair and long beard were 104
hair and put more wood 75
hair and sad blue eyes 64
hair and sky blue eyes 188
hair and too much make 115
hair and was wearing blue 40
hair and was wearing jeans 73
hair and with their eyes 58
hair can not fall from 42
hair did not come from 71
hair did not grow back 89
hair did not look like 135
hair did not turn gray 67
hair does not fall from 53
hair does not grow back 94
hair does not look good 70
hair does not look like 87
hair does not turn gray 59
hair had not been done 41
hair hang and fall over 49
hair hid her face from 70
hair long and hanging down 115
hair long and tied back 190
hair may not grow back 50
hair she had ever seen 201
hair than any other kind 48
hair that are left like 47
hair that had been dyed 115
hair that had been left 47
hair that had been tied 40
hair that had come down 155
hair that had come free 46
hair that had once been 885
hair that has been dyed 85
hair that hung down from 90
hair that hung down over 525
hair that hung down past 82
hair that may have been 62
hair that was hanging down 150
hair that was hanging over 43
hair that was tied back 93
hair they wear over their 49
hair was not even singed 93
hair was not tied back 54
hair was not tied more 88
hair was not very thick 49
hair with her bare arms 51
hair with her finger tips 61
hair with her free hand 583
hair with her good hand 44
hair with her left hand 462
hair with her other hand 266
hair with his free hand 1225
hair with his good hand 54
hair with his great hard 48
hair with his left hand 1154
hair with his other hand 741
half bad and half good 132
half boy and half girl 86
half day off from work 215
half did not know what 197
half does not know what 40
half for all time over 92
half for all work over 107
half for each hour over 45
half had not been told 3863
half has not been said 70
half has not been told 4535
half hath not been told 338
half his head shot away 103
half hot and half cold 123
half ice and half fire 300
half lion and half bird 174
half lion and half eagle 559
half man and half beast 2637
half man and half bird 484
half man and half bull 1864
half man and half eagle 102
half man and half fish 1813
half man and half goat 1192
half man and half wolf 221
half men and half fish 60
half now and half when 156
half pay for life into 63
half peat and half sand 258
half red and half blue 953
half that has been said 121
half that sum sent over 43
half war and half peace 56
half was due from three 55
hall that had been used 79
hall that had once been 160
hall that they were born 45
hall they all three took 83
hall they had just left 47
hall with her arms full 42
halt and lay down their 48
halt had not been made 52
halt has not been made 64
hand and arm away from 42
hand and arm feel when 45
hand and arm have been 103
hand and arm were numb 47
hand and both mine eyes 54
hand and each foot from 40
hand and eye have done 61
hand and had seen what 42
hand and her eyes were 153
hand and her left hand 243
hand and her mouth full 46
