hack and went for sis 85
haft thou made them all 64
hail nor rain nor any 64
hair all over her head 214
hair all over his head 653
hair and beard and all 62
hair and beard and his 373
hair and beard and put 46
hair and beard and with 51
hair and beard are all 50
hair and beard are cut 78
hair and beard are long 191
hair and beard are not 101
hair and beard are now 45
hair and beard cut off 167
hair and beard had not 105
hair and beard hung long 88
hair and beard long and 387
hair and beard with his 84
hair and bent her head 70
hair and bent his head 68
hair and cuff his ears 78
hair and drew her head 123
hair and drew his head 90
hair and eyes and all 85
hair and eyes and ears 83
hair and eyes and her 207
hair and eyes and his 106
hair and eyes and she 73
hair and eyes and was 80
hair and eyes did not 41
hair and eyes that are 124
hair and eyes that had 66
hair and held her head 345
hair and held his head 319
hair and help him get 68
hair and hold his head 42
hair and made her neat 72
hair and made her way 68
hair and pull her head 41
hair and pull his head 73
hair and said that she 48
hair and skin are all 52
hair and skin but not 44
hair and skin that was 237
hair and tell her how 59
hair and tell her that 62
hair and threw him out 106
hair and told her how 56
hair and told her she 58
hair and told her that 175
hair and told him that 107
hair and took off her 81
hair cut from her head 44
hair cut from his head 81
hair had been cut and 555
hair had been cut off 2151
hair had been cut with 86
hair had been long and 211
hair had been wet and 55
hair has been cut and 96
hair has been cut off 769
hair hung down long and 41
hair hung from his head 73
hair hung over his ears 128
hair hung over one eye 94
hair may fall out and 72
hair that gave him his 58
hair was also long and 43
hair was damp and her 66
hair was damp and his 88
hair was damp and she 57
hair was dark and cut 126
hair was dark and her 213
hair was dark and his 252
hair was dark and hung 44
hair was dark and long 397
hair was dark and she 51
hair was dark and thin 51
hair was dark and wet 46
hair was dark red and 84
hair was down and her 132
hair was down and she 173
hair was dyed red and 63
hair was fair and his 91
hair was fair and long 50
hair was flying and his 43
hair was gone and his 43
hair was gray and cut 72
hair was gray and her 140
hair was gray and his 318
hair was gray and she 94
hair was gray and thin 319
hair was held off her 84
hair was more red than 81
hair was much too long 95
hair was singed and his 71
hair was thick and his 50
hair was thick and long 728
hair was torn out and 44
hair was very long and 828
hair was very thin and 117
hair was well cut and 56
hair was wild and her 145
hair was wild and his 104
hair was wild and she 50
hair was worn long and 535
half and five and one 209
half and four and one 336
half and half with hot 263
half and half with you 49
half and less than one 47
half and less than two 67
half and more than one 115
half and roll out each 185
half and roll out one 69
half and three and one 313
half bad once you get 42
half bad when you get 64
half but less than all 132
half but less than two 139
half but more than one 65
half had been cut off 48
half had more than one 84
half her life she had 50
half her time with her 85
half his army and all 96
half his face with his 42
half his life for this 40
half his life his head 105
half his race hath run 71
half his race was run 43
half his time with her 59
half his time with his 224
half his work for him 211
half his work going for 45
half its length and then 316
half mean what they say 53
half nor less than one 182
half nor more than two 112
half per cent for all 123
half per cent for each 493
half per cent per year 530
half saw what they had 52
half that size and with 64
half too good for this 42
half way down his leg 53
half way from his own 65
half with great heat and 41
hall and into her own 128
hall and into his own 61
hall and made her way 179
hall and made his way 286
hall and told her that 48
hall and told him that 247
hall and took his hat 102
hall and took his seat 179
hall and took off her 45
hall and took off his 43
hall had been hung with 50
hall was laid out with 48
hall was used for all 42
halt and rest his men 89
halt and took him out 269
halt and wait for him 126
halt and wait for them 49
halt was made for one 45
halt was made for two 62
hand and bent her head 96
hand and bent his head 206
hand and bowing his head 77
hand and came out with 54
hand and chop off his 125
hand and down his arm 40
hand and drew her arm 59
hand and drew her near 95
hand and drew her out 394
hand and drew her with 107
hand and drew him out 204
hand and felt for her 84
hand and felt for his 130
hand and fixing his eye 48
hand and fled and got 62
hand and foot and can 86
hand and foot and eye 306
hand and foot and had 78
hand and foot and head 240
hand and foot and his 59
hand and foot and hung 62
hand and foot and lying 83
hand and foot and not 51
hand and foot and put 418
hand and foot and set 103
hand and foot and that 43
hand and foot and then 518
hand and foot and they 119
hand and foot and was 118
hand and foot and with 209
hand and foot are both 41
hand and foot are not 62
hand and foot can not 47
hand and foot cut off 192
hand and foot for all 87
hand and foot for her 42
hand and foot for that 379
hand and foot with all 153
hand and foot with her 75
hand and foot with his 153
hand and foot with red 371
hand and foot with that 112
hand and from his own 53
hand and gave her his 128
hand and gave her one 40
hand and gave him her 53
hand and gave him his 92
hand and hand with him 156
hand and hand with his 61
hand and heard him say 59
hand and heart and all 84
hand and heart and head 106
hand and heart with all 43
hand and heart with any 91
hand and heart with them 71
hand and held her arm 57
hand and held her head 59
hand and held out her 132
hand and held out his 283
hand and held them both 87
hand and held them out 325
hand and help him out 124
hand and laid her head 81
hand and laid his head 44
hand and lash that beat 70
hand and leading her off 48
hand and leading her out 512
hand and leading him out 310
hand and leads her off 42
hand and leads her out 360
hand and leads him off 42
hand and leads him out 308
hand and leaning with his 77
hand and left him with 43
hand and lips and eye 187
hand and made her run 126
hand and made her sit 357
hand and made her way 133
hand and made him sit 288
hand and made his way 263
hand and made them pay 44
hand and make his way 68
hand and nose cut off 65
hand and pull her out 176
hand and pull him out 114
hand and ready for any 95
hand and ready for use 1306
hand and said she had 78
hand and said she was 235
hand and said that his 49
hand and said that not 59
hand and said that she 324
hand and said that they 51
hand and send her out 277
hand and sent him off 98
hand and show her how 48
hand and show him how 171
hand and show him that 44
hand and show them how 45
hand and show you how 77
hand and slid his arm 71
hand and swear that you 106
hand and taking out with 104
hand and talk with him 84
hand and tell her how 154
hand and tell her not 40
hand and tell her she 56
hand and tell her that 492
hand and tell him how 315
hand and tell him not 49
hand and tell him that 547
hand and tell you how 128
hand and tell you that 157
hand and thank her for 91
hand and thank him for 454
hand and thank them for 56
hand and thank you for 409
hand and there was not 66
hand and those that are 268
hand and those who are 250
hand and those who had 64
hand and threw them out 109
hand and told her how 265
hand and told her not 219
hand and told her she 362
hand and told her that 1190
hand and told him his 110
hand and told him how 358
hand and told him not 152
hand and told him she 121
hand and told him that 1869
hand and told him they 60
hand and told them that 95
hand and took her and 243
