jar has been filled with 50
jaw had been broken and 72
jib had been furled and 74
job and find another one 116
job and have looked for 50
job and living options for 48
job had been filled and 109
job that paid better than 85
job that paid enough for 47
job that pays better than 44
job that pays enough for 73
job that will enable her 41
job that will enable him 126
job that will enable them 61
job that will enable you 73
job was good enough for 67
job was much harder than 55
job with less effort and 42
job you were applying for 47
joy and their sorrow are 60
joy and union without end 132
