keep secret what i have 63
kick myself when i think 88
kind without making a fool 61
knew without saying a word 49
know already what i have 42
know already what i hope 42
know already what i think 69
know better what a peer 93
know better what i want 120
know better when i have 42
know damned well i have 99
know damned well i will 43
know myself what i have 49
know myself what i meant 54
know myself what i want 111
know through what i have 52
know virtue know a part 68
know whether what i have 410
know whether what i said 61
