made about whether the child 47
made after notice in writing 57
made broad enough to cover 219
made either before or after 6509
made either before or since 126
made either better or worse 164
made either friend or enemy 55
made either higher or lower 49
made every effort he could 96
made every effort in order 53
made every effort of which 82
made every effort to adapt 123
made every effort to adopt 46
made every effort to allay 74
made every effort to allow 80
made every effort to appeal 54
made every effort to appear 491
made every effort to apply 55
made every effort to avert 297
made every effort to avoid 3042
made every effort to block 259
made every effort to build 294
made every effort to carry 1086
made every effort to catch 137
made every effort to change 181
made every effort to check 287
made every effort to cheer 64
made every effort to close 78
made every effort to cover 158
made every effort to create 931
made every effort to crush 118
made every effort to defeat 204
made every effort to delay 91
made every effort to drive 160
made every effort to engage 138
made every effort to enter 135
made every effort to equip 70
made every effort to erase 54
made every effort to evade 163
made every effort to fight 49
made every effort to focus 48
made every effort to force 349
made every effort to gather 115
made every effort to guard 47
made every effort to guide 40
made every effort to honor 57
made every effort to limit 183
made every effort to offer 85
made every effort to place 244
made every effort to please 400
made every effort to point 63
made every effort to print 83
made every effort to prove 399
made every effort to raise 388
made every effort to rally 276
made every effort to renew 49
made every effort to repay 43
made every effort to repel 49
made every effort to rouse 77
made every effort to seize 140
made every effort to serve 85
made every effort to shake 78
made every effort to shape 41
made every effort to share 44
made every effort to shift 46
made every effort to smooth 71
made every effort to solve 131
made every effort to sound 64
made every effort to spare 72
made every effort to speed 79
made every effort to spend 76
made every effort to spread 141
made every effort to stamp 146
made every effort to stand 47
made every effort to steer 75
made every effort to study 64
made every effort to thwart 97
made every effort to trace 4545
made every effort to track 90
made every effort to train 80
made every effort to unite 71
made every effort to visit 82
made every effort to weaken 51
made every effort to write 157
made every excuse he could 119
made every excuse to avoid 46
made fewer errors in learning 87
made flesh willed to share 51
made human rights an issue 43
made known through the press 256
made known through the whole 83
made large enough to admit 654
made large enough to allow 831
made large enough to avoid 81
made large enough to carry 602
made large enough to cause 64
made large enough to cover 492
made large enough to house 49
made large enough to serve 122
made large enough to yield 113
made large grants of lands 68
made large grants of money 53
made noise enough to rouse 40
made noise enough to waken 121
made people around the world 57
made plain before my sight 244
made small enough to allow 97
made small enough to avoid 57
made stiff enough to stand 50
made strong enough to carry 423
made strong enough to serve 60
made strong enough to stand 301
made trips around the world 40
made under duress or undue 45
made which result in fresh 122
made white through the blood 81
maid first sweeps the lower 42
maid steals through the shade 137
mail merge feature to create 108
main check occurs at longer 49
main entry should be under 102
main force across the river 47
main force behind the first 82
main force behind the growth 48
main force through the dense 43
main issue before the court 451
main issue before the house 41
main issue before the people 61
make calls around the state 85
make every effort in order 253
make every effort of which 77
make every effort to abide 64
make every effort to adapt 125
make every effort to adopt 201
make every effort to agree 200
make every effort to allow 191
make every effort to alter 41
make every effort to appear 251
make every effort to apply 281
make every effort to avert 615
make every effort to avoid 6174
make every effort to begin 51
make every effort to block 62
make every effort to build 465
make every effort to carry 686
make every effort to catch 164
make every effort to cause 74
make every effort to change 289
make every effort to check 180
make every effort to close 179
make every effort to cover 109
make every effort to create 652
make every effort to cross 98
make every effort to crush 81
make every effort to defeat 109
make every effort to delay 59
make every effort to drive 123
make every effort to engage 125
make every effort to enjoy 41
make every effort to enter 1151
make every effort to evade 73
make every effort to expel 41
make every effort to fight 99
make every effort to focus 47
make every effort to force 123
make every effort to fully 147
make every effort to gather 137
make every effort to grant 76
make every effort to grasp 63
make every effort to guard 129
make every effort to guide 60
make every effort to honor 127
make every effort to limit 257
make every effort to lower 150
make every effort to match 83
make every effort to offer 159
make every effort to place 514
make every effort to please 279
make every effort to point 74
make every effort to prove 205
make every effort to raise 426
make every effort to rally 54
make every effort to refer 67
make every effort to relax 51
make every effort to repay 76
make every effort to seize 86
make every effort to serve 186
make every effort to shake 46
make every effort to shape 45
make every effort to share 119
make every effort to shift 47
make every effort to smooth 42
make every effort to solve 293
make every effort to spare 119
make every effort to speed 177
make every effort to spend 108
make every effort to spread 115
make every effort to stamp 48
make every effort to stand 51
make every effort to start 91
make every effort to steer 47
make every effort to stick 79
make every effort to study 97
make every effort to thwart 79
make every effort to trace 149
make every effort to track 58
make every effort to train 150
make every effort to unite 176
make every effort to visit 244
make every effort to write 104
make every measure of error 116
make every minute of every 61
make every moment of every 52
make major changes in order 64
make money enough to carry 40
make money plenty in every 221
make noise enough to drown 81
make people around the world 42
make people better or worse 96
make rules carrying the force 155
make sense except in terms 44
make seven changes in getting 41
make small changes in order 42
make sweet bowers in every 42
making basic changes in major 44
making blood instead of water 46
making either slaves or wives 255
making every effort to adapt 42
making every effort to appear 164
making every effort to avert 98
making every effort to avoid 832
making every effort to block 47
making every effort to build 208
making every effort to carry 241
making every effort to catch 82
making every effort to change 68
making every effort to check 44
making every effort to create 127
making every effort to crush 67
making every effort to defeat 58
making every effort to drive 78
making every effort to enter 105
making every effort to force 82
making every effort to fully 74
making every effort to place 85
making every effort to please 78
making every effort to prove 58
making every effort to raise 187
making every effort to rally 48
making every effort to serve 72
