near half the species that 98
near losing my passage that 54
near noon the following day 106
near roar of breakers was 40
near view of anarchy they 57
net flow of capital has 42
net flow of capital was 44
net rate of increase was 50
net rate of radiation heat 400
new acts of violence and 44
new areas of concern and 122
new areas of concern for 111
new areas of concern that 43
new areas of freedom and 40
new areas of inquiry and 294
new areas of inquiry for 73
new areas of inquiry that 140
new areas of research and 1044
new areas of research are 195
new areas of research for 158
new areas of research that 430
new areas of research with 41
new areas of science and 247
new areas of service and 81
new areas or involving new 93
new areas to explore and 86
new base of support for 109
new birth is chinese and 67
new birth of freedom and 710
new birth of freedom for 160
new birth of freedom that 245
new birth of freedom was 52
new body of federal law 69
new body of research and 47
new body of research has 61
new bond of sympathy and 67
new bone to replace that 44
new book of genesis for 82
new book on america has 84
new book or antique one 80
new city by murdering his 54
new city is elegant and 101
new code of behavior for 60
new code of conduct and 134
new code of conduct for 634
new code of conduct that 156
new code of conduct was 83
new crop of victims for 42
new dawn of freedom and 65
new dawn of sympathy and 65
new debt in exchange for 49
new debt or increase its 44
new duke of suffolk and 130
new duty on tonnage for 134
new eyes on himself and 61
new faith in himself and 52
new faith in science and 77
new flow of spirits with 98
new form of address does 167
new form of baptism was 41
new form of behavior that 63
new form of control for 80
new form of control that 40
new form of control was 63
new form of culture and 51
new form of culture that 106
new form of federal aid 51
new form of freedom and 47
new form of marriage and 56
new form of musical art 76
new form of popular art 119
new form of radiation that 48
new form of religion and 90
new form of religion that 110
new form of religion was 121
new form of service was 51
new form of slavery and 123
new form of slavery for 52
new form of slavery has 63
new form of slavery that 123
new form of slavery was 59
new form of society and 243
new form of society are 41
new form of society had 54
new form of society has 72
new form of society that 323
new form of society was 156
new form of society with 61
new form of support for 44
new form of tyranny and 77
new form of warfare and 118
new form of warfare for 61
new form of warfare had 44
new form of warfare has 47
new form of warfare that 246
new form of warfare was 108
new form of worship and 82
new form of worship that 85
new form of worship was 168
new good or service that 59
new home in america and 50
new ideal of letters and 47
new ideas in physics and 49
new ideas in religion and 77
new ideas in science and 312
new ideas in science are 46
new ideas of comfort and 46
new ideas of freedom and 268
new ideas of justice and 44
new ideas of liberty and 343
new ideas of religion and 103
new ideas of science and 140
new ideas to develop and 40
new kind of balance was 117
new kind of barrier and 56
new kind of concern for 64
new kind of concern with 47
new kind of contact with 97
new kind of courage and 49
new kind of creature who 79
new kind of culture and 49
new kind of dialogue with 81
new kind of economy and 77
new kind of economy was 55
new kind of freedom and 192
new kind of freedom for 81
new kind of freedom that 138
new kind of harmony and 42
new kind of heroine who 48
new kind of history and 58
new kind of history that 173
new kind of history was 49
new kind of language for 69
new kind of language that 178
new kind of machine that 94
new kind of material for 76
new kind of natural law 49
new kind of physics both 117
new kind of pleasure and 92
new kind of popular art 41
new kind of problem for 124
new kind of problem that 58
new kind of program that 40
new kind of relation with 66
new kind of religion and 45
new kind of religion that 47
new kind of religion was 44
new kind of research and 51
new kind of respect and 65
new kind of respect for 164
new kind of science and 45
new kind of science that 182
new kind of slavery and 46
new kind of society and 391
new kind of society are 42
new kind of society had 70
new kind of society has 47
new kind of society that 674
new kind of society was 203
new kind of society with 68
new kind of support for 61
new kind of vehicle for 43
new kind of venture for 41
new kind of warfare and 72
new kind of warfare for 84
new kind of warfare that 275
new kind of warfare was 106
new land of america and 48
new land of freedom and 115
new land of promise and 86
new laws of physics and 57
new laws on marriage and 65
new laws to prevent this 64
new laws to protect them 53
new life as husband and 101
new life by contact with 53
new life in america and 205
new life in america was 101
new life in america with 108
new life in company with 48
new life in harmony with 43
new life is beginning for 262
new life of freedom and 418
new life of liberty and 86
new life of service and 63
new life to religion and 94
new line of conduct for 47
new line of defense and 50
new line of defense for 54
new line of defense was 107
new line of inquiry and 65
new line of inquiry for 86
new line of inquiry has 41
new line of inquiry that 164
new line of inquiry was 45
new line of railway was 52
new line of research and 156
new line of research for 45
new line of research has 129
new line of research that 271
new line of research was 109
new line of research with 40
new list of imports and 76
new look at behavior and 77
new look at language and 82
