path down the hill through 62
path from the base station 69
path into the deep valley 48
path length is much greater 75
path like the moon emerging 59
path over the open fields 83
path when he went courting 40
pay back the face amount 42
pay back the full amount 238
pay back the loan amount 49
pay back the loan before 56
pay back the same amount 86
pay cash at some future 99
pay duty on their cargoes 45
pay four or five pounds 115
pay from the same source 109
pay heed to nothing except 69
pay heed to their advice 62
pay more of their income 224
pay most of their income 49
pay nothing or very little 205
pay only the same duties 42
pay over the full amount 177
pay over to such person 141
pay part of their income 160
pay part of their salary 104
pay part of their tuition 89
pay unto the said lessor 119
pay unto the said william 124
pay when the note became 117
peak during the late summer 92
peak width at half height 2062
peat moss or wood shavings 46
pen from the desk drawer 53
pen must at length comply 202
peon camp is hell itself 108
per acre is much greater 120
per acre is much higher 327
per acre is much larger 79
per acre of land farmed 133
per acre of seed cotton 52
per cent as much carbon 45
per cent as much copper 74
per cent as much energy 148
per cent as much income 64
per cent as much oxygen 125
per cent by part owners 48
per cent in body weight 99
per cent in food prices 83
per cent in high income 63
per cent in high school 138
per cent in many cities 43
per cent in many places 60
per cent in more recent 107
per cent in most cities 45
per cent in most series 151
per cent in most states 82
per cent in north africa 176
per cent in north dakota 288
per cent in other cities 92
per cent in other fields 63
per cent in other places 64
per cent in other regions 123
per cent in other states 168
per cent in some cities 117
per cent in some fields 51
per cent in some groups 63
per cent in some places 252
per cent in some regions 236
per cent in some series 278
per cent in some states 278
per cent in south africa 384
per cent in south dakota 187
per cent in their income 91
per cent in their second 126
per cent in their series 152
per cent in these groups 56
per cent in these states 45
per cent in these waters 42
per cent in those treated 138
per cent in those without 100
per cent in three stages 51
per cent in west africa 96
per cent in young adults 72
per cent is good enough 168
per cent is high enough 55
per cent is lost through 147
per cent is more common 123
per cent is more likely 70
per cent is much higher 223
per cent is sold through 75
per cent of bank assets 205
per cent of bank credit 243
per cent of base salary 190
per cent of beef cattle 61
per cent of birth weight 75
per cent of blue collar 190
per cent of body weight 11045
per cent of cash income 178
per cent of city school 102
per cent of coal miners 55
per cent of coal output 189
per cent of crop output 41
per cent of deaths caused 54
per cent of earning assets 137
per cent of earthy matter 171
per cent of fair market 151
per cent of farm holdings 93
per cent of farm income 444
per cent of farm output 208
per cent of farm owners 102
per cent of fish stocks 40
per cent of five million 42
per cent of food energy 109
per cent of free alkali 88
per cent of free carbon 223
per cent of free oxygen 162
per cent of free places 126
per cent of free quartz 53
per cent of free silica 138
per cent of free sulfur 45
per cent of full strength 80
per cent of health spending 75
per cent of heart disease 92
per cent of high income 63
per cent of high school 5616
per cent of home demand 83
per cent of home owners 118
per cent of ideal weight 65
per cent of iron oxides 122
per cent of jobs created 79
per cent of land holdings 121
per cent of land owners 104
per cent of land values 47
per cent of live weight 423
per cent of living matter 47
per cent of lone fathers 59
per cent of lone mothers 581
per cent of lone parent 95
per cent of male adults 110
per cent of male manual 403
per cent of male school 58
per cent of milk solids 986
per cent of north dakota 166
per cent of oral cancer 56
per cent of other cereals 50
per cent of other groups 51
per cent of other metals 108
per cent of other oxides 48
per cent of plan outlay 103
per cent of poor readers 57
per cent of pure carbon 128
per cent of pure copper 175
per cent of pure silver 98
per cent of pure sodium 58
per cent of rice output 48
per cent of risk assets 75
per cent of single mothers 254
per cent of single parent 59
per cent of some series 42
per cent of south africa 2834
per cent of south dakota 54
per cent of south koreans 79
per cent of such actual 78
per cent of such amount 438
per cent of such annual 55
per cent of such assets 71
per cent of such claims 51
per cent of such credit 99
per cent of such crimes 54
per cent of such excess 492
per cent of such groups 44
per cent of such income 1093
per cent of such lesions 102
per cent of such losses 44
per cent of such mothers 62
per cent of such profit 73
per cent of such pupils 46
per cent of such salary 87
per cent of such shares 55
per cent of such tumors 75
per cent of such usable 165
per cent of their acreage 183
per cent of their active 120
per cent of their actual 516
per cent of their amount 179
per cent of their annual 3719
per cent of their arable 310
per cent of their assets 2384
per cent of their babies 62
per cent of their bodies 55
per cent of their budget 1036
per cent of their carbon 40
per cent of their cargoes 56
per cent of their cattle 365
per cent of their claims 621
per cent of their common 65
per cent of their cotton 120
per cent of their course 50
per cent of their credit 317
per cent of their demand 1759
per cent of their direct 126
per cent of their dollar 107
per cent of their earlier 53
per cent of their effort 113
per cent of their energy 859
per cent of their english 87
per cent of their entire 1686
per cent of their equity 1082
per cent of their excess 159
per cent of their existing 312
per cent of their export 2194
per cent of their family 165
per cent of their fathers 517
per cent of their fellow 247
per cent of their female 463
per cent of their fighting 151
per cent of their forces 132
per cent of their former 991
per cent of their future 91
per cent of their global 93
per cent of their height 145
per cent of their holdings 867
per cent of their horses 49
per cent of their houses 81
per cent of their import 235
per cent of their income 23190
per cent of their initial 959
per cent of their inputs 163
per cent of their intake 239
per cent of their liquid 63
per cent of their losses 127
per cent of their market 1624
per cent of their mature 55
per cent of their mileage 45
per cent of their monthly 1015
per cent of their mothers 321
per cent of their native 51
per cent of their normal 1364
per cent of their number 1482
per cent of their orders 109
per cent of their outlay 51
per cent of their output 4627
per cent of their pension 148
per cent of their places 239
per cent of their prewar 299
per cent of their profit 192
per cent of their proper 42
per cent of their public 271
per cent of their pupils 798
per cent of their quotas 372
per cent of their readers 94
per cent of their reasons 44
per cent of their rental 56
per cent of their retail 97
per cent of their salary 1466
per cent of their sample 2026
per cent of their school 649
per cent of their second 99
per cent of their series 323
per cent of their shares 1741
per cent of their slaves 54
per cent of their spending 83
per cent of their staffs 45
per cent of their stated 47
per cent of their sterling 44
per cent of their stocks 76
per cent of their strength 886
per cent of their supply 106
per cent of their target 74
per cent of their tariff 64
per cent of their timber 42
per cent of their totals 59
per cent of their training 83
per cent of their troops 71
per cent of their values 149
per cent of their volume 682
per cent of their voters 76
per cent of their weapons 61
per cent of their weekly 373
per cent of their weight 2633
per cent of these adults 56
per cent of these assets 188
per cent of these babies 176
per cent of these became 51
per cent of these changes 65
per cent of these cities 380
per cent of these claims 84
per cent of these crimes 81
per cent of these errors 44
per cent of these fathers 50
per cent of these former 51
per cent of these groups 248
per cent of these holdings 133
per cent of these houses 259
per cent of these latter 179
per cent of these leaders 124
per cent of these lesions 340
per cent of these losses 142
per cent of these metals 41
per cent of these middle 41
per cent of these mothers 259
per cent of these negroes 52
per cent of these orders 50
per cent of these owners 51
per cent of these places 143
per cent of these plants 181
per cent of these pupils 843
per cent of these school 135
per cent of these shares 76
per cent of these should 86
per cent of these showed 122
per cent of these stores 84
per cent of these totals 81
per cent of these tumors 649
per cent of these values 212
per cent of these visits 94
per cent of these voters 91
per cent of these worked 57
per cent of those active 121
per cent of those adults 55
per cent of those already 220
per cent of those appearing 137
per cent of those applying 240
per cent of those arriving 141
per cent of those belonging 414
per cent of those bitten 117
per cent of those called 436
per cent of those carrying 45
per cent of those caught 55
per cent of those choosing 75
per cent of those chosen 93
per cent of those claiming 172
per cent of those engaged 1474
per cent of those entering 979
per cent of those existing 51
per cent of those favoring 70
per cent of those guilty 42
per cent of those issued 88
per cent of those judged 60
per cent of those killed 452
per cent of those listed 383
per cent of those marrying 166
per cent of those mothers 54
per cent of those offering 69
per cent of those placed 209
per cent of those planning 313
per cent of those polled 3568
per cent of those pupils 91
per cent of those raised 60
per cent of those replying 1516
per cent of those residing 112
per cent of those starting 293
per cent of those studying 341
per cent of those tested 550
per cent of those thought 100
per cent of those treated 2071
per cent of those twenty 68
per cent of those visiting 62
per cent of those voters 56
per cent of those weighing 69
per cent of those without 1256
per cent of those younger 68
per cent of time worked 62
per cent of voting rights 283
per cent of voting shares 322
per cent of wage earners 627
per cent of wage income 60
per cent of wealth owners 78
per cent of west africa 70
per cent of west berlin 77
per cent of west europe 44
per cent of west german 1525
per cent of west indians 598
per cent of what number 141
per cent of what should 57
per cent of wheat acreage 56
per cent of whom attend 42
