sea flow streams that come 86
sea from europe and north 70
sea from whence they came 291
sea many nights and days 48
sing their little weak soft 55
so ably argued this case 107
so also abroad they were 43
so among peoples who have 47
so bold behind his back 42
so busy fighting each other 259
so busy figuring out what 42
so busy watching each other 47
so clear before his eyes 44
so clear without being true 92
so deep rooted that even 42
so fast unless they were 58
so great stress has been 40
so great stress was laid 43
so great terror and such 45
so high beyond our reach 54
so high esteem and dread 47
so high wisdom and worth 64
so like another that there 151
so many abuses and such 48
so many already this spring 78
so many ardent and winged 47
so many around him were 63
so many authors who have 54
so many babies are born 76
so many babies being born 46
so many before him have 86
so many before them have 40
so many before you have 67
so many better and more 133
so many better things were 50
so many bloody and angry 74
so many bodies had been 61
so many cattle and hogs 40
so many cattle had been 40
so many causes that must 111
so many changes and find 55
so many changes are made 71
so many changes are taking 142
so many changes had been 150
so many changes that there 44
so many charms for their 49
so many cities owe their 40
so many claims are made 44
so many clever men have 68
so many copies had been 79
so many crimes and such 64
so many crimes had been 89
so many dangers that their 59
so many digits are said 41
so many doubts and fears 190
so many doubts had been 56
so many errors are made 60
so many events that have 44
so many exciting things were 52
so many fables are told 41
so many famous men have 66
so many fathers and sons 68
so many fathers who will 78
so many fiends and gods 71
so many fought and died 73
so many ghosts with sore 40
so many horses had been 100
so many houses had been 119
so many indeed that some 40
so many indians had been 41
so many indians had died 60
so many indians with such 44
so many jewels and other 49
so many larger and more 41
so many learned and able 63
so many learned and holy 61
so many learned and pious 121
so many learned and wise 72
so many learned men came 44
so many learned men have 310
so many little odd jobs 41
so many losses and such 45
so many nations and keep 82
so many nations and such 114
so many nations had been 70
so many nations has been 50
so many nations that have 56
so many nations who have 68
so many nations with their 153
so many nights and days 201
so many nimble and airy 443
so many options out there 75
so many partings that there 66
so many peoples who have 42
so many pieces per hour 159
so many places all over 99
so many places and done 83
so many places and seen 41
so many places had been 50
so many places that there 121
so many places that those 58
so many places that were 53
so many points had been 63
so many points that there 123
so many pounds are worth 52
so many prizes that only 48
so many proofs that there 40
so many public men have 78
so many quaint but holy 122
so many reasons for hating 43
so many reasons for loving 98
so many reasons for making 73
so many reasons for their 44
so many reasons why there 55
so many second and third 60
so many shocking bad hats 88
so many slaves had been 71
so many strange things have 206
so many strange things kept 46
so many strange things were 104
so many stunts not worth 45
so many troops are sent 83
so many troops had been 133
so many voices are heard 42
so many weapons that were 45
so many wishes for your 57
so many writings had gone 45
so many younger men were 120
so mary waited for what 62
so more slowly and less 111
so most likely you will 76
so much across his mind 70
so much afraid for truth 69
so much already for what 45
so much already has been 101
so much already that there 64
so much anguish and pain 69
so much before his eyes 57
so much before his time 86
so much before our eyes 61
so much better and also 83
so much better and less 42
so much better and more 2458
so much better for having 192
so much better for their 91
so much better for your 115
so much better off here 78
so much better off when 67
so much better out here 88
so much better than cure 72
so much better than during 49
so much better than even 95
so much better than ever 183
so much better than from 56
so much better than having 350
so much better than here 56
so much better than hers 260
so much better than just 237
so much better than last 194
so much better than leaving 51
so much better than life 173
so much better than living 107
so much better than making 55
so much better than many 287
so much better than mere 106
so much better than mine 2216
so much better than miss 50
so much better than most 1835
so much better than none 80
so much better than nothing 369
so much better than other 1100
so much better than ours 1214
so much better than poor 49
so much better than saying 54
so much better than some 237
so much better than their 1012
so much better than these 180
so much better than those 1865
so much better than trying 61
so much better than what 2867
so much better than when 808
so much better than your 544
so much better that even 54
so much better that their 61
so much better that there 251
so much better that when 73
so much better this time 76
so much better with their 70
so much better with your 61
so much beyond all other 76
so much beyond her years 67
so much beyond his means 82
so much beyond his years 112
so much bigger and more 1003
so much bigger than hers 62
so much bigger than just 61
so much bigger than life 291
so much bigger than mine 349
so much bigger than most 105
so much bigger than other 62
so much bigger than ours 228
so much bigger than their 109
so much bigger than those 98
so much bigger than what 206
so much bolder and more 105
so much calmer and more 94
so much caution had been 42
so much cheaper and more 554
so much cheaper than buying 71
so much cheaper than land 41
so much cheaper than other 93
so much cheaper than ours 49
so much cheaper than those 72
so much cheaper than what 111
so much cleaner and more 70
so much clearer and more 334
so much closer and more 251
so much credit for having 41
so much credit for their 51
so much credit for what 55
so much credit has been 113
so much dainty and well 107
so much damage and loss 82
so much damage for years 43
so much damage had been 438
so much damage has been 354
so much damage was done 455
so much damned bad work 41
so much darker and more 84
so much deeper and more 851
so much deeper than mere 115
so much deeper than those 43
so much deeper than what 85
so much detail and such 137
so much detail has been 89
so much disease and pain 94
so much dreaded had come 45
so much earlier and more 116
so much earlier than other 74
so much earlier than their 69
so much earlier than those 59
so much effect all over 120
so much effort and care 54
so much effort and cost 89
so much effort and hope 85
so much effort and pain 63
so much effort and risk 90
so much effort and self 139
so much effort and such 45
