wan out when i wanted 62
war and form a united 66
war can show a bridge 91
war for over a decade 97
war had been a bitter 44
war had been a costly 52
war had been a little 47
war had been a matter 72
war had been a member 78
war had been a series 89
war had been a serious 41
war had been a severe 41
war had been a source 55
war had been a tragic 41
war had left a legacy 138
war has been a factor 70
war has been a matter 87
war has been a source 58
war has left a legacy 41
war she made a crowning 43
war was also a factor 44
war was also a female 55
war was just a matter 89
war was only a little 47
war was only a matter 482
war with such a tyrant 291
was all just a little 329
was all just a matter 406
was all just a stupid 58
was all like a fleeting 78
was all like a strange 59
was all over i thought 69
was all over i walked 52
was all such a muddle 82
was all such a tangled 41
was and what i looked 48
was and what i needed 177
was and what i should 113
was and what i sought 42
was and what i thought 208
was and what i wanted 2297
was being just a little 198
was being kept a secret 298
was being made a laughing 110
was being made a martyr 41
was being made a victim 116
was being paid a salary 250
was but half a briton 61
was but half a covering 113
was but half a million 149
was but half a sailor 71
was but just i should 52
was cut down a little 43
was cut from a larger 200
was cut into a number 120
was cut into a series 79
was cut into a square 45
was cut into a tippet 104
was cut like a tunnel 56
was dead from a broken 92
was dead from a bullet 78
was dead when a little 53
was dead when i reached 152
was doing what i always 106
was doing what i needed 111
was doing what i should 140
was doing what i thought 592
was doing what i wanted 832
was doing when i picked 51
was doing when i signed 47
was due from a bishop 58
was dying down a little 64
was eating like a cancer 43
was eating like a canker 80
was far from a casual 76
was far from a common 75
was far from a genius 47
was far from a laughing 66
was far from a matter 145
was far from a modern 67
was far from a normal 157
was far from a novice 60
was far from a panacea 65
was far from a pretty 43
was far from a purely 83
was far from a reality 202
was far from a record 89
was far from a secret 42
was far from a serious 59
was far from a simple 597
was far from a stable 52
was far from a static 64
was far from a stupid 90
was far from a trivial 83
was far from a unique 47
was far from a united 59
was far less a factor 47
was far less a matter 143
was far more a matter 403
was fed from a bottle 69
was fed from a hopper 71
was for half a million 93
was for just a little 50
was for just a moment 71
was for many a dragon 69
was for once a little 67
was for only a little 50
was for only a moment 280
was for only a second 55
was for over a decade 126
was for such a charge 46
was for such a little 69
was for such a person 46
was for years a matter 55
was for years a member 684
was for years a source 47
was for years a teacher 87
was god when i needed 104
was going along a narrow 136
was going along a street 121
was going down a flight 41
was going down a little 111
was going down a street 77
was going into a battle 103
was going into a church 49
was going into a second 58
was going into a strange 71
was going into a trance 165
was going just a little 120
was going like a hammer 123
was going over a bridge 48
was going over a pretty 139
was got into a scrape 51
was has been a matter 75
was his heart a little 73
was his will i should 184
was his wish i should 66
was how much i missed 139
was how much i needed 62
was how much i wanted 419
was how much i wished 56
was hung from a gibbet 50
was hung from a window 77
was hung like a donkey 42
was hung upon a gibbet 73
was led down a flight 69
was led down a narrow 82
was led into a building 111
was led into a course 63
was led into a garden 49
was led into a little 181
was led into a narrow 44
was led into a secret 175
was led into a series 138
was led into a serious 50
was led into a tavern 140
was let down a little 46
was let into a secret 46
was let into a socket 41
was long kept a secret 520
was lying like a broken 51
was lying like a corpse 84
was lying like a prince 46
was lying upon a pallet 46
was mad when i bought 96
was near half a million 55
was near when i should 63
was not also a coward 58
was not also a member 293
was not born a genius 49
was not born a knight 78
was not born a little 106
was not born a member 73
was not born a muslim 44
was not born a parrot 245
was not born a peasant 53
was not born a prince 69
was not born a writer 71
was not even a battle 294
was not even a bishop 124
was not even a bottle 64
was not even a breeze 332
was not even a bridge 80
was not even a bridle 54
was not even a building 125
was not even a carpet 89
was not even a casual 46
was not even a chance 339
was not even a choice 215
was not even a church 292
was not even a clever 40
was not even a closet 63
was not even a common 305
was not even a corner 45
was not even a county 56
was not even a debate 68
was not even a debating 47
was not even a decade 44
was not even a decent 349
was not even a deputy 48
was not even a desire 63
was not even a direct 129
was not even a doctor 304
was not even a factor 194
was not even a family 90
was not even a farmer 52
was not even a female 40
was not even a flower 147
was not even a formal 298
was not even a french 137
was not even a friend 311
was not even a gamble 56
was not even a german 555
was not even a hamlet 68
was not even a knight 81
was not even a lawyer 165
was not even a legend 59
was not even a letter 291
was not even a little 666
was not even a market 47
was not even a matter 933
was not even a member 9967
was not even a memory 373
was not even a mention 365
was not even a minute 320
was not even a mirror 68
was not even a moment 225
was not even a morsel 42
was not even a murmur 210
was not even a muslim 69
was not even a native 652
was not even a nickel 49
was not even a normal 72
was not even a partial 98
was not even a passion 40
was not even a person 322
was not even a phrase 48
was not even a player 83
was not even a police 63
was not even a pretty 172
was not even a priest 508
was not even a proper 731
was not even a public 432
was not even a quiver 61
was not even a quorum 119
was not even a rabbit 134
was not even a record 177
was not even a remote 884
was not even a report 51
was not even a ripple 745
was not even a russian 212
was not even a rustle 76
was not even a sailor 56
was not even a school 235
was not even a scrawl 40
was not even a second 602
