wagged an angry finger at 45
wagged it from side to 52
wagons or other means of 59
wagons to haul away the 42
wagons to take care of 41
waited at least half an 74
waited at least till the 72
waited he must have the 63
waited in vain during the 56
waited in vain till the 123
waited in vain upon the 40
waited so many years to 427
waited the best part of 101
waited the time when an 40
waited to have more of 43
waited to know what to 62
waited to learn what the 91
waited to make sure he 252
waited to make sure it 99
waited to make sure no 133
waited to make sure of 123
waited to make sure the 253
waited to take leave of 67
waited to take over the 58
waited to take part in 43
waiter is very cold to 58
waiter to take away the 149
waiter to take care of 45
waiver of jury trial by 108
waiver of jury trial in 268
waiver of jury trial is 97
waiver of such term or 121
walked at least part of 56
walked at once into the 143
walked in just ahead of 41
walked in single file in 42
walked in single file on 87
walked in single file to 163
walked in single file up 131
walked me away from the 117
walked me back into the 75
walked me home from the 73
walked my lord over the 40
walked on away from the 47
walked on bare feet to 57
walked on down into the 97
walked on foot along the 57
walked on foot among the 48
walked on foot from the 90
walked on foot over the 46
walked on four legs or 40
walked on once more in 164
walked on some time in 89
walked or rode along the 68
walked or rode over the 59
walked the best part of 107
walked the bike down the 56
walked the fine line of 70
walked the full length of 1005
walked the half mile or 103
walked the half mile to 576
walked the last mile or 54
walked the last mile to 148
walked the last part of 147
walked the mile back to 142
walked the mile down the 56
walked the mile from the 143
walked the only living thing 41
walked the other side of 52
walked the tame ways of 114
walked to their cars in 48
walked up here from the 46
wallet to make sure he 74
wallet to make sure it 74
wander at once from the 48
wander at will along the 70
wander at will among the 314
wander at will from the 43
wander at will into the 53
wander at will over the 684
wander in from time to 57
wanted as much land as 50
wanted as much time as 241
wanted at least part of 75
wanted at least some of 134
wanted by such means as 41
wanted in body must be 47
wanted in late years to 55
wanted in those days to 53
wanted is some kind of 74
wanted it made clear to 130
wanted me away from the 63
wanted me very much to 225
wanted no help from the 91
wanted no more part in 116
wanted no more part of 377
wanted no more talk of 91
wanted on your side in 49
wanted or been able to 229
wanted or were able to 152
wanted so much just to 93
wanted so much land as 47
wanted so much more of 46
wanted so much room to 44
wanted so very much to 1012
wanted the full range of 51
wanted the good will of 121
wanted the last word in 45
wanted the last word on 45
wanted the left bank of 104
wanted the other boys to 45
wanted the other half of 50
wanted the other kids to 99
wanted the other side of 62
wanted the other side to 102
wanted the same kind of 823
wanted the same sort of 213
wanted the same type of 133
wanted the type must be 45
wanted the very same thing 52
wanted the work done by 41
wanted the work done in 83
wanted to bend down to 54
wanted to bite back the 59
wanted to blow down the 46
wanted to bolt from the 342
wanted to break down in 61
wanted to break down the 1136
wanted to break free of 471
wanted to break from the 185
wanted to break into the 1005
wanted to break open the 128
wanted to burn down the 346
wanted to call back the 125
wanted to call back to 52
wanted to call down the 63
wanted to call home to 47
wanted to call upon the 101
wanted to clap eyes on 49
wanted to clear away the 201
wanted to come along as 66
wanted to come along on 158
wanted to come along to 287
wanted to come back as 940
wanted to come back at 118
wanted to come back he 58
wanted to come back in 344
wanted to come back on 152
wanted to come back so 62
wanted to come back the 166
wanted to come back to 7279
wanted to come back up 158
wanted to come down in 108
wanted to come down on 260
wanted to come down the 111
wanted to come down to 1003
wanted to come face to 134
wanted to come from the 61
wanted to come here as 64
wanted to come here at 87
wanted to come here in 270
wanted to come here on 43
wanted to come here so 185
wanted to come here to 744
wanted to come home as 132
wanted to come home at 116
wanted to come home in 59
wanted to come home on 63
wanted to come home so 278
wanted to come home to 1255
wanted to come into it 60
wanted to come into my 212
wanted to come into the 1550
wanted to come over the 93
wanted to come over to 1319
wanted to come talk to 86
wanted to come upon the 43
wanted to dash back to 44
wanted to dash into the 72
